band,n_clear_both,sensitivity,sensitivity_low,sensitivity_high,sensitivity_support,specificity,specificity_low,specificity_high,specificity_support
early_2014_2017,31,0.8,0.2835820638819105,0.9949492366205319,4/5,1.0,0.8677253955022458,1.0,26/26
mid_2018_2022,30,1.0,0.4781762498950185,1.0,5/5,0.96,0.796483086077586,0.9989878003006891,24/25
late_2023_2026,28,0.9090909090909091,0.5872200830116173,0.9977010277861857,10/11,0.9411764705882353,0.7131106033327794,0.9985118256087334,16/17
pooled,89,0.9047619047619048,0.6962255930860758,0.9882506821155542,19/21,0.9705882352941176,0.897758988071881,0.9964180385797287,66/68
