band,head_name,n,mean_predicted_probability,observed_rate,observed_low,observed_high,calibration_gap
early_2014_2017,substantive,67,0.6717707888108553,0.6716417910447762,0.5460486912020968,0.7815067245546848,0.00012899776607910862
early_2014_2017,clinical,45,0.8683905804956844,0.8,0.6540417022050522,0.9042427303088574,0.06839058049568436
early_2014_2017,lived,45,0.266984504385284,0.24444444444444444,0.12882281460350803,0.3953709287598267,0.022540059940839546
mid_2018_2022,substantive,67,0.7105892065254591,0.6865671641791045,0.5616019840685929,0.7944212758666933,0.024022042346354633
mid_2018_2022,clinical,46,0.7479147384454824,0.8043478260869565,0.6608524004890015,0.9064242655785913,-0.056433087641474144
mid_2018_2022,lived,46,0.3832847530789739,0.2608695652173913,0.14266853688823072,0.41131884760436244,0.12241518786158262
late_2023_2026,substantive,66,0.6287566923395692,0.7575757575757576,0.6363888076622838,0.8546316735018541,-0.12881906523618836
late_2023_2026,clinical,50,0.5990787050064105,0.64,0.49193135228560114,0.7708429331794127,-0.04092129499358954
late_2023_2026,lived,50,0.4778581012097399,0.46,0.3181491785686087,0.6067580238830776,0.017858101209739907
