dataset,batch_name,input_rows,input_sha256,codebook_version,codebook_sha256,prompt_version,prompt_sha256,schema_sha256,skill_sha256,model,reasoning_effort,codex_cli_version,attempt,return_code,status,error,completed_at_utc,token_input_tokens,token_cached_input_tokens,token_output_tokens,token_reasoning_output_tokens,metadata_path
production,annotator_batch_008.jsonl,75,7dd2dccc847a583cddd8c73f3b36c3badab31d24fe93118ae3cfa19a0d29a577,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:25:04.330070+00:00,100211,78336,5202,1864,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_008/attempt_01_metadata.json
production,annotator_batch_009.jsonl,75,3513434655131a1b75b95c6d53b5bd2b9d301706e45674001ac893e2227487bf,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:26:59.085863+00:00,107100,88576,5788,2479,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_009/attempt_01_metadata.json
production,annotator_batch_010.jsonl,75,d4b830e7dfef5a5eb6c58b1b971a8ad1fb9796fb33f69562b2e9148db04fba19,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:29:14.949623+00:00,111125,88576,6722,3380,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_010/attempt_01_metadata.json
production,annotator_batch_011.jsonl,75,c0570c05cbddeaa3d7e9085d88c02776a72c389c118047af8a8b1de9737cb499,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:31:17.470859+00:00,108523,88064,6112,2823,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_011/attempt_01_metadata.json
production,annotator_batch_012.jsonl,75,63922b96d7a5f5c5105bcdc0b1c71193ed82e101c6e57cb1fbcaa2795b2203ad,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:33:25.062889+00:00,99961,78848,6336,2994,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_012/attempt_01_metadata.json
production,annotator_batch_013.jsonl,75,55da4a3f8ad8e2d2ac9a27e1c5d47b24e2d6e9efc5813e0bf86e4c8152dbbecf,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:35:33.438987+00:00,107756,89088,6561,3168,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_013/attempt_01_metadata.json
production,annotator_batch_014.jsonl,75,df56df2c36fb41a29664ce9904c4a9b3e436784541f43a8e05266bf1b623e7ff,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:37:48.355593+00:00,100074,80384,6777,3439,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_014/attempt_01_metadata.json
production,annotator_batch_015.jsonl,75,781e97828662b3da0a8052bd0b3c6966a41780bb255cfa5cfc0158ca51a01c53,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:40:00.593294+00:00,107652,88576,6800,3492,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_015/attempt_01_metadata.json
production,annotator_batch_016.jsonl,75,61a1344d7fd82c53af00f1a9ad8af9d15cd4bdbc4a54a33e70419da279c0dfcf,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:42:06.116546+00:00,103013,80896,6381,2943,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_016/attempt_01_metadata.json
production,annotator_batch_017.jsonl,75,f7d4afe7353f3b5133b6a37e6ddc340b77c5b8155db6236c05bec50e769331da,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:44:16.467752+00:00,99769,80384,6763,3421,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_017/attempt_01_metadata.json
