dataset,batch_name,input_rows,input_sha256,codebook_version,codebook_sha256,prompt_version,prompt_sha256,schema_sha256,skill_sha256,model,reasoning_effort,codex_cli_version,attempt,return_code,status,error,completed_at_utc,token_input_tokens,token_cached_input_tokens,token_output_tokens,token_reasoning_output_tokens,metadata_path
production,annotator_batch_028.jsonl,75,c7858ff49f5b295f52a786e47304537c7362164180dbddf7d14419e602ae0802,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:40:01.443993+00:00,99938,59392,6673,3365,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_028/attempt_01_metadata.json
production,annotator_batch_029.jsonl,75,9dd17e7cb9c9695f5457cc1374affcb358fd79a40f92e98da1bb713de5a33cdf,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:41:54.502161+00:00,100350,79872,5433,2125,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_029/attempt_01_metadata.json
production,annotator_batch_030.jsonl,75,86d56dcb31d05848de4ae2f8cfcb8933a3a3f8d9ef26f974d7e9dd093fd2e7dc,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:44:06.400874+00:00,98918,79872,6500,3162,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_030/attempt_01_metadata.json
production,annotator_batch_031.jsonl,75,68ff25e981fb09ae03600b860886162265e86144d68983ab60e915422b833030,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:45:58.639383+00:00,103969,58880,5539,2100,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_031/attempt_01_metadata.json
production,annotator_batch_032.jsonl,75,3c07292f5681eb51c34d127962c4d09c4dd5f200f0c876c692c3d620b0f2e5ef,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:47:46.607009+00:00,98997,59392,5466,2141,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_032/attempt_01_metadata.json
production,annotator_batch_033.jsonl,75,38cb2b8875010d1d8a55f4b7e4f7b5939c18ee23e8fca2bfbcaf75cf8f673da8,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:49:39.145766+00:00,100185,57856,5609,2267,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_033/attempt_01_metadata.json
production,annotator_batch_034.jsonl,75,3a80e3e20b4e3bf436885f1b1d1d1de9be9063df44b30c95b216162deba023fc,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:51:38.532865+00:00,98289,79872,6002,2660,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_034/attempt_01_metadata.json
production,annotator_batch_035.jsonl,75,76acdf7414f18153fde8bd0c73cd3becae632e737f663735101791eecb349e4a,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:53:43.353559+00:00,101191,79872,6338,2996,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_035/attempt_01_metadata.json
production,annotator_batch_036.jsonl,75,75a269a206c2f8a3a7a251d4ebde6522a481e78018bdf8f3f3bc1adce1b5e36c,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:55:45.177223+00:00,99338,79872,6290,2969,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_036/attempt_01_metadata.json
production,annotator_batch_037.jsonl,75,231568c18c1695b84a60835eeea69fdd1eb591568b8c9180f2c90bcbfee41921,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T07:58:17.429874+00:00,98746,78336,7872,4530,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_037/attempt_01_metadata.json
production,annotator_batch_038.jsonl,75,7a4dd49ac8cbcae53e272c2f02cfef77409f3e313a95498c2e27b39951b70884,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T08:00:20.011778+00:00,98177,79360,6241,2903,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_038/attempt_01_metadata.json
production,annotator_batch_039.jsonl,75,a1164a770a98ca5e1683cdc239aa8dd8378b5a1318332e6789394e832026c645,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T08:02:22.210731+00:00,99907,42496,6148,2810,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_039/attempt_01_metadata.json
production,annotator_batch_040.jsonl,75,1dcdc1247858b163ba3dc620d70cd3dd2d53c77bf4c87496fecdddf0a14907e6,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T08:04:26.045603+00:00,99915,78336,6248,2944,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_040/attempt_01_metadata.json
production,annotator_batch_041.jsonl,25,a726d4d3dfb4c6911f179462cbd03add4717ba3852a8e01becc4ceac079cbd8f,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-11T08:05:16.046350+00:00,54118,40960,2294,943,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_041/attempt_01_metadata.json
