registered_domain,hits
blogspot.com,10
healthline.com,7
mfnnews.com,6
rayapp.co.uk,4
herald-progress.com,3
weebly.com,3
cnn.com,2
blogspot.gr,2
kvsc.org,2
urbandictionary.com,2
