analysis_unit,frame_contrast,value_basis,index_name,clear_frame_contexts_total,n_years,year_center,linear_intercept,linear_slope_per_year,linear_slope_se,linear_p_value,linear_r_squared,linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,linear_slope_pp_per_year,linear_slope_se_pp,ar1_sensitivity_slope_pp_per_year,fitted_lived_share_2014,fitted_lived_share_2026,fitted_change_pp_2014_2026,observed_lived_share_2014,observed_lived_share_2026
ADHD,lived_only_vs_clinical_only,hard_label_clear_frame_share,lived_share,15649,13,2020.0,0.23905744363251277,0.01066593241140112,0.0015421671411929674,2.532976425975362e-05,0.8130326026367181,0.7960355665127834,0.9016832052537732,2.332156252411947,-0.24438716853842157,False,,,1.066593241140112,0.15421671411929674,,0.17506184916410605,0.3030530381009195,12.799118893681344,0.19423558897243107,0.2868421052631579
Autism,lived_only_vs_clinical_only,hard_label_clear_frame_share,lived_share,33132,13,2020.0,0.3937515237917054,0.00585180583750184,0.001970964627767401,0.012768021252433304,0.44486490948326285,0.39439808307265034,0.6669819408973998,1.099886318645939,0.2990425328083996,True,0.002295142328222364,0.3704479361049257,0.585180583750184,0.1970964627767401,0.22951423282223637,0.35864068876669436,0.42886235881671647,7.022167005002212,0.3137490970382856,0.39556962025316456
