lsc_year,analysis_unit,frame_stratum,score,ci_low,ci_high,measure,method_key,method_family,method_label,score_2014,score_delta,ci_low_delta,ci_high_delta,fitted_delta
2014,ADHD,substantive_core_overall,0.6292893698520898,0.6205706637117325,0.6380168296907839,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.0,-0.008718706140357302,0.008727459838694052,0.009211482167391427
2015,ADHD,substantive_core_overall,0.633348767869364,0.6246481763704366,0.642283795398673,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.004059398017274174,-0.004641193481653261,0.012994425546583144,0.008762310292137254
2016,ADHD,substantive_core_overall,0.6385389663332015,0.6282875949970677,0.6475176919184833,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.009249596481111677,-0.001001774855022175,0.018228322066393465,0.008313138416883081
2017,ADHD,substantive_core_overall,0.6378977445698932,0.6282496754916076,0.6460215788599811,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.008608374717803402,-0.001039694360482235,0.016732209007891297,0.007863966541628908
2018,ADHD,substantive_core_overall,0.6386816379670873,0.6294817550183497,0.6470263652762378,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.009392268114997493,0.00019238516625985635,0.017736995424147972,0.0074147946663746245
2019,ADHD,substantive_core_overall,0.6525012638700596,0.6430091582403036,0.6611788718179469,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.023211894017969747,0.01371978838821375,0.03188950196585705,0.006965622791120452
2020,ADHD,substantive_core_overall,0.6338825046904315,0.6249035580046496,0.6420699086093773,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.004593134838341673,-0.004385811847440246,0.012780538757287463,0.006516450915866279
2021,ADHD,substantive_core_overall,0.6434329709130728,0.63474219528686,0.6519219352006123,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.014143601060983002,0.005452825434770214,0.022632565348522427,0.006067279040612106
2022,ADHD,substantive_core_overall,0.6388797724537797,0.6296268749881532,0.6477617111579484,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.009590402601689862,0.000337505136063343,0.01847234130585862,0.005618107165357933
2023,ADHD,substantive_core_overall,0.6342505035595123,0.6220265352990423,0.6438686741179939,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.00496113370742246,-0.007262834553047548,0.014579304265904036,0.005168935290103649
2024,ADHD,substantive_core_overall,0.6205885661795063,0.6094870658440084,0.6311595056596192,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,-0.008700803672583524,-0.019802304008081473,0.0018701358075293717,0.004719763414849476
2025,ADHD,substantive_core_overall,0.6329554855599805,0.6187690638784848,0.6438043941329646,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.0036661157078906603,-0.010520305973604982,0.014515024280874811,0.004270591539595303
2026,ADHD,substantive_core_overall,0.6312281161654507,0.6121366702974984,0.6451352565165901,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6292893698520898,0.001938746313360884,-0.017152699554591422,0.015845886664500264,0.0038214196643411302
2014,ADHD,substantive_core_overall,0.1384160191818261,0.1322493765386998,0.1449843195068092,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,0.0,-0.006166642643126302,0.006568300324983095,0.000798626947004194
2015,ADHD,substantive_core_overall,0.143590953171836,0.1366417117130785,0.1501123011942964,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,0.0051749339900099,-0.001774307468747599,0.011696282012470277,-0.0012388643970679125
2016,ADHD,substantive_core_overall,0.1374268090947342,0.1305314145486577,0.143901502399822,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.0009892100870919074,-0.007884604633168424,0.0054854832179958846,-0.003276355741140019
2017,ADHD,substantive_core_overall,0.1276621511794824,0.1210160876921487,0.1336957831557117,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.010753868002343708,-0.017399931489677417,-0.004720236026114405,-0.0053138470852121256
