model_population,analysis_unit,model_scope,formula_name,dependent_variable,coefficient,estimate,standard_error,t_value,p_value
substantive_core,Autism,overall,arousal ~ year,context_arousal_mean,year_centered,0.0015717535723109128,0.00017717923224126576,8.870980827880826,7.547829393335153e-19
substantive_core,Autism,overall,arousal ~ year + MHI,context_arousal_mean,intercept,-0.027126039988769612,0.0005978139686149609,-45.37538668026827,0.0
substantive_core,Autism,overall,arousal ~ year + MHI,context_arousal_mean,mhi_z,0.023528105848582153,0.0005990182426809969,39.27777849181779,0.0
substantive_core,Autism,overall,arousal ~ year + MHI,context_arousal_mean,year_centered,0.001139567985895537,0.00017416212161280184,6.543144831624357,6.097472494716126e-11
substantive_core,Autism,overall,arousal ~ year + frame,context_arousal_mean,frame__lived_only,-0.0333433195112421,0.0013554635103017573,-24.599201127752316,1.292114440876703e-132
substantive_core,Autism,overall,arousal ~ year + frame,context_arousal_mean,frame__mixed,-0.028078195356788297,0.0017286526186206213,-16.24282117432784,3.9092810192623243e-59
substantive_core,Autism,overall,arousal ~ year + frame,context_arousal_mean,intercept,-0.011781372677468462,0.0008429815605219325,-13.97583675516463,2.792949974580805e-44
substantive_core,Autism,overall,arousal ~ year + frame,context_arousal_mean,year_centered,0.0018362269915386462,0.00017594631797379775,10.436291095401613,1.827451621533523e-25
substantive_core,Autism,overall,arousal ~ year + frame + MHI,context_arousal_mean,frame__lived_only,-0.006107751199996957,0.0016150818276302048,-3.7816976796518142,0.00015599216801227128
substantive_core,Autism,overall,arousal ~ year + frame + MHI,context_arousal_mean,frame__mixed,-0.014982721713900594,0.0017631245235720213,-8.49782389932742,1.998447525420198e-17
substantive_core,Autism,overall,arousal ~ year + frame + MHI,context_arousal_mean,intercept,-0.022735962117636316,0.0009088679568815721,-25.015693363913886,4.852322456075799e-137
substantive_core,Autism,overall,arousal ~ year + frame + MHI,context_arousal_mean,mhi_z,0.02181094734639855,0.0007219548334624195,30.2109582697792,3.1216418740694946e-198
substantive_core,Autism,overall,arousal ~ year + frame + MHI,context_arousal_mean,year_centered,0.0012461880551567026,0.00017504001435508562,7.11944671478768,1.1020922164668224e-12
