encoder,n,target_swap_distance_mean,target_swap_distance_sd,control_swap_distance_mean,control_swap_distance_sd,target_over_control_ratio
XL-LEXEME,3000,0.11967111378908157,0.0816345065832138,0.0008864653646014631,0.0024036180693656206,134.99807739257812
MPNet,3000,0.1312628984451294,0.10512377321720123,0.010639604181051254,0.020191580057144165,12.337197303771973
