lsc_year,analysis_unit,frame_stratum,term_role,target_group,breadth_mean_pairwise_cosine_distance,sampled_contexts,sampled_documents,sampled_domains,bootstrap_repetitions,bootstrap_unit,breadth_bootstrap_mean,breadth_ci_low,breadth_ci_high,available_contexts,markable_contexts,unmarkable_contexts,unmarkable_share,cap_applied,sampling_policy,top_domain,top_domain_share,small_cell_flag
2026,ADHD,lived_only,target,ADHD,0.6102295619021274,103,76,72,500,doc_id,0.6033594424164168,0.5731052843766684,0.6323454756963821,109,103,0,0.0,False,all_markable_target_contexts_no_comparators,phoenix.org.uk,0.04854368932038835,False
2014,ADHD,mixed,target,ADHD,0.6302047670007729,173,152,133,500,doc_id,0.6256703619545302,0.60321541128991,0.6497161903182295,183,173,0,0.0,False,all_markable_target_contexts_no_comparators,rrstar.com,0.03468208092485549,False
2015,ADHD,mixed,target,ADHD,0.66349824974196,118,109,99,500,doc_id,0.6579836464414737,0.6317270087482277,0.6853342531360004,128,118,0,0.0,False,all_markable_target_contexts_no_comparators,flinger.us,0.05084745762711865,False
2016,ADHD,mixed,target,ADHD,0.6038672863536321,168,142,138,500,doc_id,0.599813888841777,0.5781266137826483,0.622337699827028,182,168,0,0.0,False,all_markable_target_contexts_no_comparators,healthychildren.org,0.02976190476190476,False
2017,ADHD,mixed,target,ADHD,0.6331140322916013,179,153,149,500,doc_id,0.6298189431261214,0.606571173759853,0.6535420134113112,187,179,0,0.0,False,all_markable_target_contexts_no_comparators,schoolingamonkey.com,0.0223463687150838,False
2018,ADHD,mixed,target,ADHD,0.6284094369996519,170,152,146,500,doc_id,0.6244763737762193,0.5991029938398562,0.6491728096972963,182,170,0,0.0,False,all_markable_target_contexts_no_comparators,lepageassociates.com,0.01764705882352941,False
2019,ADHD,mixed,target,ADHD,0.6313784268760365,135,120,117,500,doc_id,0.6261348995324214,0.5998262359122043,0.6524311040805578,142,135,0,0.0,False,all_markable_target_contexts_no_comparators,healthyplace.com,0.02962962962962963,False
2020,ADHD,mixed,target,ADHD,0.6217288096560558,144,130,125,500,doc_id,0.6174965200520859,0.596471296522631,0.6395751851717583,156,144,0,0.0,False,all_markable_target_contexts_no_comparators,institute4learning.com,0.027777777777777776,False
2021,ADHD,mixed,target,ADHD,0.632216318492533,167,150,145,500,doc_id,0.6277829262769297,0.6000477584722915,0.6543225711371122,180,167,0,0.0,False,all_markable_target_contexts_no_comparators,thtrainingsolutions.co.uk,0.03592814371257485,False
2022,ADHD,mixed,target,ADHD,0.6074210781063649,179,152,144,500,doc_id,0.6043003495667456,0.5770943317208471,0.631765104785065,193,179,0,0.0,False,all_markable_target_contexts_no_comparators,auriculotherapysymposium.com,0.0223463687150838,False
2023,ADHD,mixed,target,ADHD,0.6286740044413035,148,122,117,500,doc_id,0.6246248222148224,0.6003957862704087,0.6501952879320976,159,148,0,0.0,False,all_markable_target_contexts_no_comparators,brainbalancecenters.com,0.02702702702702703,False
2024,ADHD,mixed,target,ADHD,0.59800914103094,146,122,118,500,doc_id,0.593178770669067,0.5616968196242977,0.6255116497865577,154,146,0,0.0,False,all_markable_target_contexts_no_comparators,ldonline.org,0.0273972602739726,False
2025,ADHD,mixed,target,ADHD,0.6282522223385023,102,92,91,500,doc_id,0.6216889724367638,0.5917607854427108,0.6525149692811365,110,102,0,0.0,False,all_markable_target_contexts_no_comparators,classroomchronicles.live,0.029411764705882353,False
2026,ADHD,mixed,target,ADHD,0.6136676996565584,42,38,38,500,doc_id,0.5975633468713506,0.5633866296401987,0.6304172149543502,44,42,0,0.0,False,all_markable_target_contexts_no_comparators,freedomtherapyservices.com.au,0.047619047619047616,True
2014,ADHD,substantive_core_overall,target,ADHD,0.6292893698520898,1678,1093,874,500,doc_id,0.6290448471574102,0.6205706637117325,0.6380168296907839,1779,1678,0,0.0,False,all_markable_target_contexts_no_comparators,additudemag.com,0.023837902264600714,False
2015,ADHD,substantive_core_overall,target,ADHD,0.633348767869364,1446,993,756,500,doc_id,0.6331978621997478,0.6246481763704366,0.642283795398673,1547,1446,0,0.0,False,all_markable_target_contexts_no_comparators,rightdiagnosis.com,0.020055325034578148,False
2016,ADHD,substantive_core_overall,target,ADHD,0.6385389663332015,1549,1098,930,500,doc_id,0.638032847539234,0.6282875949970677,0.6475176919184833,1640,1549,0,0.0,False,all_markable_target_contexts_no_comparators,wellesley.edu,0.016785022595222725,False
2017,ADHD,substantive_core_overall,target,ADHD,0.6378977445698932,1506,1070,935,500,doc_id,0.6375138542715578,0.6282496754916076,0.6460215788599811,1589,1506,0,0.0,False,all_markable_target_contexts_no_comparators,rehabs.com,0.012616201859229747,False
