analysis_unit,lsc_year,frame_stratum,term_role,target_group,raw_form,sampled_contexts,sampled_documents,raw_form_context_share
ADHD,2022,mixed,target,ADHD,attention_deficit,19,19,0.10614525139664804
ADHD,2022,substantive_core_overall,target,ADHD,adhd,1130,817,0.8152958152958153
ADHD,2022,substantive_core_overall,target,ADHD,attention_deficit,256,242,0.1847041847041847
ADHD,2023,clinical_only,target,ADHD,adhd,502,374,0.7020979020979021
ADHD,2023,clinical_only,target,ADHD,attention_deficit,213,187,0.29790209790209793
ADHD,2023,lived_only,target,ADHD,adhd,258,202,0.9247311827956989
ADHD,2023,lived_only,target,ADHD,attention_deficit,21,20,0.07526881720430108
ADHD,2023,mixed,target,ADHD,adhd,132,114,0.8918918918918919
ADHD,2023,mixed,target,ADHD,attention_deficit,16,16,0.10810810810810811
ADHD,2023,substantive_core_overall,target,ADHD,adhd,891,639,0.7808939526730938
ADHD,2023,substantive_core_overall,target,ADHD,attention_deficit,250,223,0.21910604732690622
ADHD,2024,clinical_only,target,ADHD,adhd,481,368,0.7222222222222222
ADHD,2024,clinical_only,target,ADHD,attention_deficit,185,165,0.2777777777777778
ADHD,2024,lived_only,target,ADHD,adhd,275,221,0.9515570934256056
ADHD,2024,lived_only,target,ADHD,attention_deficit,14,14,0.04844290657439446
ADHD,2024,mixed,target,ADHD,adhd,133,112,0.910958904109589
ADHD,2024,mixed,target,ADHD,attention_deficit,13,13,0.08904109589041095
ADHD,2024,substantive_core_overall,target,ADHD,adhd,889,638,0.8074477747502271
ADHD,2024,substantive_core_overall,target,ADHD,attention_deficit,212,190,0.19255222524977295
ADHD,2025,clinical_only,target,ADHD,adhd,407,318,0.7523105360443623
ADHD,2025,clinical_only,target,ADHD,attention_deficit,134,118,0.2476894639556377
ADHD,2025,lived_only,target,ADHD,adhd,185,144,0.9585492227979274
ADHD,2025,lived_only,target,ADHD,attention_deficit,8,8,0.04145077720207254
ADHD,2025,mixed,target,ADHD,adhd,92,85,0.9019607843137255
ADHD,2025,mixed,target,ADHD,attention_deficit,10,10,0.09803921568627451
ADHD,2025,substantive_core_overall,target,ADHD,adhd,684,508,0.8181818181818182
ADHD,2025,substantive_core_overall,target,ADHD,attention_deficit,152,134,0.18181818181818182
ADHD,2026,clinical_only,target,ADHD,adhd,197,146,0.7635658914728682
ADHD,2026,clinical_only,target,ADHD,attention_deficit,61,51,0.2364341085271318
ADHD,2026,lived_only,target,ADHD,adhd,99,74,0.9611650485436893
ADHD,2026,lived_only,target,ADHD,attention_deficit,4,4,0.038834951456310676
ADHD,2026,mixed,target,ADHD,adhd,39,36,0.9285714285714286
