analysis_unit,lsc_year,frame_stratum,available_contexts,markable_contexts_before_dedupe,markable_contexts,sampled_contexts,sampled_documents,sampled_domains,target_sentence_contexts,adjacent_contexts,top_domain,top_domain_share,unmarkable_contexts,duplicate_contexts_removed,unmarkable_share,cap_applied,sampling_policy,small_cell_flag
ADHD,2023,mixed,159,159,148,148,122,117,148,0,brainbalancecenters.com,0.02702702702702703,0,11,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2023,substantive_core_overall,1208,1208,1141,1141,752,698,1136,5,turningwinds.com,0.014899211218229623,0,67,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2024,clinical_only,704,704,666,666,457,430,661,5,lakshnashamuktichhattisgarh.com,0.013513513513513514,0,38,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2024,lived_only,313,313,289,289,227,213,288,1,onetask.me,0.02422145328719723,0,24,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2024,mixed,154,154,146,146,122,118,146,0,ldonline.org,0.0273972602739726,0,8,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2024,substantive_core_overall,1171,1171,1101,1101,729,674,1095,6,substack.com,0.011807447774750226,0,70,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2025,clinical_only,578,578,541,541,380,363,535,6,brainhealthusa.com,0.0166358595194085,0,37,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2025,lived_only,216,216,193,193,148,144,190,3,arxiv.org,0.015544041450777202,0,23,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2025,mixed,110,110,102,102,92,91,101,1,classroomchronicles.live,0.029411764705882353,0,8,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2025,substantive_core_overall,904,904,836,836,572,539,826,10,brainhealthusa.com,0.014354066985645933,0,68,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2026,clinical_only,271,271,258,258,170,157,256,2,perdertimidez.com,0.023255813953488372,0,13,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2026,lived_only,109,109,103,103,76,72,103,0,phoenix.org.uk,0.04854368932038835,0,6,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2026,mixed,44,44,42,42,38,38,42,0,freedomtherapyservices.com.au,0.047619047619047616,0,2,0.0,False,all_markable_target_contexts_no_comparators,True
ADHD,2026,substantive_core_overall,424,424,403,403,259,242,401,2,neurosity.co,0.017369727047146403,0,21,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2014,clinical_only,2850,2850,2502,2502,1708,1203,2489,13,cnn.com,0.012390087929656275,0,348,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2014,lived_only,1303,1303,1183,1183,937,796,1173,10,idahoptv.org,0.0084530853761623,0,120,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2014,mixed,660,660,572,572,502,430,572,0,41nbc.com,0.02097902097902098,0,88,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2014,substantive_core_overall,4813,4813,4255,4255,2858,2035,4232,23,cnn.com,0.009165687426556992,0,558,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2015,clinical_only,2083,2083,1853,1853,1322,990,1848,5,technologynetworks.com,0.023745277927684834,0,230,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2015,lived_only,1055,1055,954,954,741,650,941,13,specialolympics.org,0.011530398322851153,0,101,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2015,mixed,539,539,469,469,413,359,469,0,troubledteensearch.com,0.017057569296375266,0,70,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2015,substantive_core_overall,3677,3677,3276,3276,2252,1705,3258,18,technologynetworks.com,0.013431013431013432,0,401,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2016,clinical_only,2175,2175,1954,1954,1392,1153,1948,6,bartlesvilleradio.com,0.01023541453428864,0,221,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2016,lived_only,1367,1367,1246,1246,931,797,1238,8,rainbowsaretoobeautiful.com,0.026484751203852328,0,121,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2016,mixed,678,678,596,596,501,461,593,3,autismafter16.com,0.010067114093959731,0,82,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2016,substantive_core_overall,4220,4220,3796,3796,2553,2064,3779,17,rainbowsaretoobeautiful.com,0.010010537407797681,0,424,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2017,clinical_only,1984,1984,1781,1781,1290,1123,1774,7,scienceblogs.com,0.009545199326221224,0,203,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2017,lived_only,1368,1368,1249,1249,959,853,1244,5,theautismdirectory.com,0.02321857485988791,0,119,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2017,mixed,627,627,554,554,457,418,552,2,ncdcr.gov,0.010830324909747292,0,73,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2017,substantive_core_overall,3979,3979,3583,3583,2439,2080,3569,14,theautismdirectory.com,0.009768350544236673,0,396,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2018,clinical_only,1959,1959,1758,1758,1277,1131,1742,16,eu-aims.eu,0.015927189988623434,0,201,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2018,lived_only,1239,1239,1119,1119,873,790,1111,8,unibe.ch,0.0160857908847185,0,120,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2018,mixed,620,620,545,545,477,433,543,2,autismafter16.com,0.01651376146788991,0,75,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2018,substantive_core_overall,3818,3818,3422,3422,2369,2046,3396,26,eu-aims.eu,0.008182349503214495,0,396,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2019,clinical_only,1717,1717,1554,1554,1097,1004,1543,11,rki.de,0.013513513513513514,0,163,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2019,lived_only,1191,1191,1072,1072,833,789,1068,4,theautismdirectory.com,0.013059701492537313,0,119,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2019,mixed,546,546,488,488,403,376,488,0,medicationjunction.com,0.040983606557377046,0,58,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2019,substantive_core_overall,3454,3454,3114,3114,2104,1899,3099,15,rki.de,0.00674373795761079,0,340,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2020,clinical_only,1532,1532,1400,1400,1031,966,1392,8,virginia.edu,0.007142857142857143,0,132,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2020,lived_only,1064,1064,980,980,782,735,978,2,drivemomcrazy.com,0.01020408163265306,0,84,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2020,mixed,525,525,461,461,388,373,461,0,spectrumnews.org,0.008676789587852495,0,64,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2020,substantive_core_overall,3121,3121,2839,2839,1973,1818,2829,10,drivemomcrazy.com,0.0052835505459668895,0,282,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2021,clinical_only,1413,1413,1274,1274,924,829,1272,2,asdcarc.com,0.013343799058084773,0,139,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2021,lived_only,994,994,911,911,709,670,902,9,middlesbrough.gov.uk,0.007683863885839737,0,83,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2021,mixed,551,551,479,479,407,387,478,1,cam.ac.uk,0.010438413361169102,0,72,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2021,substantive_core_overall,2958,2958,2663,2663,1831,1657,2651,12,asdcarc.com,0.006383777694329703,0,295,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2022,clinical_only,1175,1175,1051,1051,772,715,1041,10,simonssearchlight.org,0.008563273073263558,0,124,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2022,lived_only,911,911,825,825,643,598,819,6,autisticandme.com,0.008484848484848486,0,86,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2022,mixed,421,421,375,375,318,302,373,2,massgeneral.org,0.013333333333333334,0,46,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2022,substantive_core_overall,2507,2507,2251,2251,1557,1415,2233,18,massgeneral.org,0.006219458018658374,0,256,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2023,clinical_only,1092,1092,967,967,678,623,963,4,autismspeaks.org,0.012409513960703205,0,125,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2023,lived_only,687,687,617,617,470,445,617,0,phoenix.org.uk,0.009724473257698542,0,70,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2023,mixed,372,372,325,325,283,269,323,2,autismspeaks.org,0.018461538461538463,0,47,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2023,substantive_core_overall,2151,2151,1909,1909,1286,1180,1903,6,autismspeaks.org,0.012048192771084338,0,242,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2024,clinical_only,900,900,819,819,592,531,809,10,thetreetop.com,0.01221001221001221,0,81,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2024,lived_only,651,651,595,595,454,430,591,4,auticon.com,0.011764705882352941,0,56,0.0,False,all_markable_target_contexts_no_comparators,False
