analysis_unit,frame_stratum,term_role,target_group,index_name,n_years,year_center,linear_intercept,baes_mpnet_linear_slope_per_year,linear_slope_se,baes_mpnet_linear_p_value,linear_r_squared,baes_mpnet_linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,baes_mpnet_autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared,xl_lexeme_linear_slope_per_year,xl_lexeme_linear_p_value,xl_lexeme_linear_adj_r_squared,xl_lexeme_autocorrelation_flag,slope_direction_agrees
ADHD,clinical_only,target,ADHD,baes_mpnet_breadth_mean_pairwise_cosine_distance,13,2020.0,0.6293150715727768,-1.9241020295348553e-05,0.0007467439415195588,0.9799050391169762,6.035230801582081e-05,-0.09084325202761923,-0.0077686747914389315,1.5609978236926285,0.16249793218491224,False,,,0.15693058369418222,0.24777383572180145,-0.0017869136367948,0.0002505728950628,0.6934123388477325,False,True
ADHD,lived_only,target,ADHD,baes_mpnet_breadth_mean_pairwise_cosine_distance,13,2020.0,0.6177430673803994,-0.0020286531248952457,0.0007479211254681083,0.020204432063212523,0.40077533405812427,0.3463003644270447,-0.6330681906857468,2.317035140644826,-0.23101809052099972,False,,,0.3431380437710887,-0.003162320655956008,-0.0003664272929007,0.5602728599395381,-0.0562702626154916,True,True
ADHD,mixed,target,ADHD,baes_mpnet_breadth_mean_pairwise_cosine_distance,13,2020.0,0.6246493440758395,-0.0019414507257929365,0.0011481517133271172,0.118952120980681,0.2063070338464449,0.13415312783248534,-0.45421034097259944,3.3605351826086625,-0.6926186703682307,True,-0.0021174904733410236,0.004087240833899825,0.053410393089041386,-0.08074273474344396,-0.0013921812009279,0.0565680590890068,0.2276699828199422,False,True
ADHD,substantive_core_overall,target,ADHD,baes_mpnet_breadth_mean_pairwise_cosine_distance,13,2020.0,0.6358058207679561,-0.0004491718752542742,0.0005676165709636632,0.4454796370674719,0.053861331601467666,-0.03215127461658063,-0.23208044209167017,1.6467538776602728,0.11466153086307919,False,,,0.26983375961703737,0.301985034233618,-0.0020374913440721,4.418269425540856e-05,0.7747336240461775,False,True
Autism,clinical_only,target,Autism,baes_mpnet_breadth_mean_pairwise_cosine_distance,13,2020.0,0.6340029845728682,-0.00018898440657019703,0.000598292072479575,0.7580112170520925,0.00898899703166467,-0.08110291232909317,-0.09481032133509397,0.7842027897888936,0.542137724141057,True,-0.0018338225687391148,0.05358328642236585,0.382970678537806,0.46407359086689914,0.0007494536713758,0.0363187483199891,0.2804846837660598,True,False
Autism,lived_only,target,Autism,baes_mpnet_breadth_mean_pairwise_cosine_distance,13,2020.0,0.6111814826703272,-0.0024605483708899333,0.0009683847496669908,0.027437018581489003,0.3698465459660695,0.3125598683266212,-0.6081501015095447,2.5632273895181057,-0.3988796013565613,False,,,0.2515113593549604,-0.06104850897166081,-0.0010404425140852,0.0295811024949785,0.3040608325940703,False,True
Autism,mixed,target,Autism,baes_mpnet_breadth_mean_pairwise_cosine_distance,13,2020.0,0.6043477538076115,-0.0014044202741082896,0.0008869002685059197,0.14161062586786896,0.1856388848997631,0.11160605625428699,-0.4308583118610624,2.28897477912208,-0.20703670727617204,False,,,0.19014952608146773,0.07854346982718075,-0.0002940246753826,0.616313098411462,-0.0651630104953218,False,True
Autism,substantive_core_overall,target,Autism,baes_mpnet_breadth_mean_pairwise_cosine_distance,13,2020.0,0.6351305621961385,-0.0014223734705345096,0.00033490749646399216,0.0013724899038171968,0.6211801623030535,0.5867419952396947,-0.7881498349318203,1.3498123964208484,0.15019800530340532,False,,,0.6199194945062523,0.03317749926655755,0.0001187171607088,0.6374416078577795,-0.0681030612701485,True,False
