lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag
2019,ADHD,clinical_only,1000,674,7120,5789,6196,995,0.8702247191011236,0.995,False
2019,ADHD,lived_only,299,223,2242,1798,1938,299,0.864406779661017,1.0,False
2019,ADHD,mixed,142,120,1052,851,926,142,0.8802281368821293,1.0,False
2019,ADHD,substantive_core_overall,1441,957,10414,8438,9060,1436,0.8699827155751872,0.9965301873698821,False
2019,Autism,clinical_only,1717,1097,13578,10992,11658,1717,0.8585947856827221,1.0,False
2019,Autism,lived_only,1191,833,9671,7675,8216,1191,0.8495502016337504,1.0,False
2019,Autism,mixed,546,403,4498,3562,3867,546,0.859715429079591,1.0,False
2019,Autism,substantive_core_overall,3454,2104,27747,22229,23741,3454,0.8556240314268209,1.0,False
2019,frustration,unframed_baseline,8615,7720,71472,55866,60823,8611,0.8510045892097605,0.9995356935577481,False
2019,loneliness,unframed_baseline,3142,2523,25202,20109,21658,3142,0.8593762399809539,1.0,False
2019,sadness,unframed_baseline,4490,3859,35548,28500,30342,4489,0.8535501294024981,0.9997772828507795,False
2020,ADHD,clinical_only,959,668,6722,5421,5833,947,0.8677476941386492,0.9874869655891554,False
2020,ADHD,lived_only,312,240,2351,1891,2042,311,0.86856656741812,0.9967948717948718,False
2020,ADHD,mixed,156,130,1184,934,1021,154,0.862331081081081,0.9871794871794872,False
2020,ADHD,substantive_core_overall,1427,972,10257,8246,8896,1412,0.8673101296675441,0.9894884372810091,False
2020,Autism,clinical_only,1532,1031,11895,9467,10082,1532,0.8475830180748214,1.0,False
2020,Autism,lived_only,1064,782,8599,6655,7157,1063,0.8323060821025701,0.9990601503759399,False
2020,Autism,mixed,525,388,4302,3426,3664,525,0.8516968851696886,1.0,False
2020,Autism,substantive_core_overall,3121,1973,24796,19548,20903,3120,0.8429988707856105,0.99967958987504,False
2020,frustration,unframed_baseline,8982,7943,74523,58790,63756,8982,0.8555211142868645,1.0,False
2020,loneliness,unframed_baseline,4381,3445,35367,28365,30492,4380,0.8621596403426923,0.9997717416115042,False
2020,sadness,unframed_baseline,5091,4368,40407,32249,34530,5090,0.8545549038532927,0.9998035749361619,False
2021,ADHD,clinical_only,928,636,6430,5281,5639,922,0.8769828926905132,0.9935344827586207,False
2021,ADHD,lived_only,299,232,2236,1817,1954,299,0.8738819320214669,1.0,False
2021,ADHD,mixed,180,150,1367,1103,1187,180,0.8683247988295537,1.0,False
2021,ADHD,substantive_core_overall,1407,941,10033,8201,8780,1401,0.8751121299710953,0.9957356076759062,False
2021,Autism,clinical_only,1413,924,11172,9007,9553,1412,0.8550841389187254,0.9992922859164898,False
2021,Autism,lived_only,994,709,8064,6360,6879,994,0.8530505952380952,1.0,False
2021,Autism,mixed,551,407,4421,3520,3766,551,0.8518434743270753,1.0,False
2021,Autism,substantive_core_overall,2958,1831,23657,18887,20198,2957,0.8537853489453439,0.9996619337390128,False
2021,frustration,unframed_baseline,7962,7108,65925,51782,56203,7962,0.8525293894577171,1.0,False
2021,loneliness,unframed_baseline,3852,3024,31279,24825,26614,3852,0.8508584034016433,1.0,False
2021,sadness,unframed_baseline,4219,3607,33305,26547,28356,4218,0.8514036931391683,0.9997629770087698,False
2022,ADHD,clinical_only,930,634,6550,5392,5797,923,0.8850381679389313,0.9924731182795699,False
2022,ADHD,lived_only,356,254,2728,2154,2318,354,0.8497067448680352,0.9943820224719101,False
2022,ADHD,mixed,193,152,1525,1269,1355,193,0.8885245901639345,1.0,False
2022,ADHD,substantive_core_overall,1479,941,10803,8815,9470,1470,0.8766083495325373,0.9939148073022313,False
2022,Autism,clinical_only,1175,772,9174,7375,7833,1174,0.8538260300850229,0.9991489361702127,False
2022,Autism,lived_only,911,643,7267,5664,6065,910,0.8345947433603963,0.9989023051591658,False
2022,Autism,mixed,421,318,3415,2763,2948,421,0.8632503660322108,1.0,False
2022,Autism,substantive_core_overall,2507,1557,19856,15802,16846,2505,0.8484085414987913,0.9992022337455125,False
2022,frustration,unframed_baseline,6963,6275,57949,45743,49571,6962,0.8554245974908972,0.9998563837426396,False
2022,loneliness,unframed_baseline,2955,2372,23846,19034,20524,2955,0.8606894238027342,1.0,False
2022,sadness,unframed_baseline,3768,3229,30245,24235,25781,3768,0.8524053562572326,1.0,False
2023,ADHD,clinical_only,750,477,5142,4241,4514,736,0.8778685336444964,0.9813333333333333,False
2023,ADHD,lived_only,299,216,2310,1849,1980,299,0.8571428571428571,1.0,False
2023,ADHD,mixed,159,122,1226,1017,1083,158,0.8833605220228385,0.9937106918238994,False
2023,ADHD,substantive_core_overall,1208,752,8678,7107,7577,1193,0.8731274487209034,0.9875827814569537,False
2023,Autism,clinical_only,1092,678,8519,6876,7258,1090,0.8519779316821223,0.9981684981684982,False
2023,Autism,lived_only,687,470,5552,4375,4658,686,0.8389769452449568,0.9985443959243085,False
2023,Autism,mixed,372,283,2976,2396,2548,371,0.8561827956989247,0.9973118279569892,False
2023,Autism,substantive_core_overall,2151,1286,17047,13647,14464,2147,0.8484777380184196,0.99814039981404,False
2023,frustration,unframed_baseline,6377,5618,53137,42024,45612,6377,0.8583849295218021,1.0,False
2023,loneliness,unframed_baseline,2588,1985,20934,16838,18036,2588,0.8615649183147034,1.0,False
2023,sadness,unframed_baseline,2698,2288,21326,17031,18062,2698,0.8469473881646816,1.0,False
2024,ADHD,clinical_only,704,457,4861,3984,4237,693,0.8716313515737503,0.984375,False
2024,ADHD,lived_only,313,227,2384,1872,2009,313,0.8427013422818792,1.0,False
2024,ADHD,mixed,154,122,1162,943,997,153,0.8580034423407917,0.9935064935064936,False
2024,ADHD,substantive_core_overall,1171,729,8407,6799,7243,1159,0.861543951469014,0.9897523484201537,False
