lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_mean,valence_sd,arousal_mean_for_reuse,dominance_mean_for_reuse,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_bootstrap_mean,valence_ci_low,valence_ci_high
2026,Autism,mixed,target,Autism,0.22287897163120568,0.45783364084244327,-0.03509216312056737,0.099567304964539,470,273,84,120,84,572,470,476,116,0.8321678321678322,0.9666666666666667,False,500,doc_id,0.22206859382653385,0.1714535714735477,0.2729660737906274
2014,Autism,substantive_core_overall,target,Autism,0.1480301170594067,0.4730573888910059,0.003139795432014034,0.08044439582856708,17484,2971,2849,4813,2858,20300,17484,17987,4789,0.8860591133004926,0.9950135050903802,False,500,doc_id,0.14812352781769567,0.13912907196048688,0.15761555012874148
2015,Autism,substantive_core_overall,target,Autism,0.14022666051887372,0.4732558897815011,0.006243143981310711,0.07484721996803148,13555,2673,2245,3677,2252,15879,13555,13983,3653,0.8805970149253731,0.9934729398966549,False,500,doc_id,0.13988572453384338,0.12882047520782153,0.15040337214331304
2016,Autism,substantive_core_overall,target,Autism,0.14861360360945208,0.47518409203898987,0.0072698768718081905,0.08128413182723103,15404,2793,2540,4220,2553,17963,15404,15874,4194,0.8837053944218671,0.9938388625592417,False,500,doc_id,0.1485934562020103,0.13771671985318776,0.1579978357840949
2017,Autism,substantive_core_overall,target,Autism,0.14851488170236593,0.47494958610291016,0.006378698259368149,0.08061093611461104,14286,2739,2431,3979,2439,16660,14286,14729,3953,0.884093637454982,0.9934656948982157,False,500,doc_id,0.14909029219311856,0.13873162028639446,0.15882701529924767
2018,Autism,substantive_core_overall,target,Autism,0.14086824944716855,0.47770878956055846,0.009765756898375158,0.07475036054225555,13868,2719,2359,3818,2369,16143,13868,14303,3788,0.886018707799046,0.9921424829753798,False,500,doc_id,0.14110806395723177,0.13042257120922127,0.15212414062580507
2019,Autism,substantive_core_overall,target,Autism,0.1537293732863298,0.47201259973898346,0.00833988771380076,0.08476434390912652,12765,2545,2100,3454,2104,14762,12765,13174,3437,0.8924265004741905,0.9950781702374059,False,500,doc_id,0.15382119241886225,0.14258165559849273,0.16474692022651383
2020,Autism,substantive_core_overall,target,Autism,0.13679196078431372,0.48486035861266613,0.007105167330089933,0.07303500958278049,11305,2431,1965,3121,1973,13253,11305,11657,3100,0.87957443597676,0.9932713873758411,False,500,doc_id,0.1367724204804452,0.12481512431263835,0.15003550199415466
2021,Autism,substantive_core_overall,target,Autism,0.1461408608562691,0.4817099094692195,0.004396688073394497,0.07156549847094801,10900,2321,1819,2958,1831,12675,10900,11272,2931,0.8893096646942801,0.9908722109533469,False,500,doc_id,0.14580788018012888,0.13211995922404884,0.1593330497336075
2022,Autism,substantive_core_overall,target,Autism,0.15200479389702135,0.47907433170027447,0.0032965224674095135,0.07954159201806132,9154,2136,1551,2507,1557,10667,9154,9425,2491,0.88356613855817,0.9936178699641005,False,500,doc_id,0.15214224188780084,0.13813618451844087,0.16623742778305414
2023,Autism,substantive_core_overall,target,Autism,0.15334378477887955,0.4724075909683587,0.011818821388226436,0.0936908162838375,7967,1945,1278,2151,1286,9283,7967,8193,2132,0.8825810621566303,0.9911668991166899,False,500,doc_id,0.15302683900765607,0.14026259077416453,0.16587270817190222
2024,Autism,substantive_core_overall,target,Autism,0.1521034842623107,0.4743668462865171,0.011545058986483262,0.0928900487175813,6979,1732,1136,1866,1140,8143,6979,7231,1849,0.8880019648778091,0.9908896034297964,False,500,doc_id,0.15178871763112153,0.13616247916896318,0.16811500763637208
2025,Autism,substantive_core_overall,target,Autism,0.14367281557393916,0.4969920087758494,0.04696967321068445,0.12653999876527966,8099,1804,1323,2147,1326,9386,8099,8271,2139,0.8812060515661624,0.9962738705170004,False,500,doc_id,0.1435543112272362,0.12769010709436948,0.15863445094279358
2026,Autism,substantive_core_overall,target,Autism,0.17332512634964392,0.4628354247474353,-0.00041932000918906237,0.0933981507006662,2902,1003,453,752,453,3402,2902,2981,744,0.876249265138154,0.9893617021276596,False,500,doc_id,0.1726029707433666,0.15009653422288363,0.19329500714932135
