analysis_unit,frame_stratum,collocate,occurrences,documents,arousal_warriner_mean,arousal_scaled_mean,valence_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
ADHD,mixed,include,48,46,3.0499999999999994,0.25625,6.39,include,6162,0.007789678675754625
ADHD,mixed,student,46,42,4.25,0.40625,6.41,student,6162,0.007465108730931516
ADHD,mixed,diagnosis,44,43,4.0,0.375,4.62,diagnosis,6162,0.007140538786108407
ADHD,mixed,disability,41,40,3.9000000000000004,0.3625,2.95,disability,6162,0.0066536838688737426
ADHD,mixed,parent,40,38,4.14,0.39249999999999996,6.730000000000001,parent,6162,0.006491398896462187
ADHD,mixed,condition,35,34,3.96,0.37,4.605,condition|conditioning,6162,0.005679974034404414
ADHD,mixed,treatment,35,34,4.47,0.43374999999999997,5.0,treatment,6162,0.005679974034404414
ADHD,mixed,know,34,32,3.24,0.28,6.82,know,6162,0.00551768906199286
ADHD,mixed,need,34,32,3.67,0.33375,5.45,need,6162,0.00551768906199286
ADHD,mixed,problem,33,31,4.81,0.47624999999999995,3.52,problem,6162,0.005355404089581304
ADHD,substantive_core_overall,child,1950,1596,5.21,0.52625,6.78,child|children,54330,0.03589177250138045
ADHD,substantive_core_overall,autism,1662,1460,4.1,0.3875,3.2,autism,54330,0.030590833793484262
ADHD,substantive_core_overall,disorder,1330,1142,4.9,0.4875000000000001,3.7599999999999993,disorder,54330,0.024480029449659487
ADHD,substantive_core_overall,add,1294,1064,4.0,0.375,6.23,add,54330,0.023817412111172463
ADHD,substantive_core_overall,anxiety,865,815,4.779999999999999,0.47250000000000003,2.38,anxiety,54330,0.015921222160868765
ADHD,substantive_core_overall,diagnose,853,781,3.72,0.34,5.0,diagnose,54330,0.015700349714706425
ADHD,substantive_core_overall,symptom,845,746,4.17,0.39625,3.33,symptom,54330,0.015553101417264863
ADHD,substantive_core_overall,depression,729,686,5.2,0.525,2.44,depression,54330,0.013418001104362231
ADHD,substantive_core_overall,adult,655,503,4.36,0.42000000000000004,5.9,adult,54330,0.012055954353027793
ADHD,substantive_core_overall,like,644,598,4.4,0.42500000000000004,7.440000000000001,like,54330,0.011853487944045647
ADHD,substantive_core_overall,include,599,582,3.05,0.25625,6.39,include,54330,0.011025216270936868
ADHD,substantive_core_overall,learn,543,501,4.8,0.47500000000000003,6.85,learn,54330,0.009994478188845942
ADHD,substantive_core_overall,medication,537,462,4.56,0.44499999999999995,3.65,medication,54330,0.009884041965764772
ADHD,substantive_core_overall,treatment,531,454,4.47,0.43374999999999997,5.0,treatment,54330,0.0097736057426836
ADHD,substantive_core_overall,people,530,473,3.77,0.34625,5.7,people,54330,0.009755199705503405
ADHD,substantive_core_overall,condition,527,499,3.96,0.37,4.605,condition|conditioning,54330,0.00969998159396282
ADHD,substantive_core_overall,treat,522,482,5.0,0.5,6.84,treat,54330,0.009607951408061845
ADHD,substantive_core_overall,diagnosis,489,448,4.0,0.375,4.62,diagnosis,54330,0.009000552181115406
ADHD,substantive_core_overall,disability,458,415,3.9,0.3625,2.95,disability,54330,0.008429965028529357
ADHD,substantive_core_overall,help,449,421,4.29,0.41125,6.95,help,54330,0.008264310693907602
ADHD,substantive_core_overall,kid,359,327,5.2,0.525,6.855,kid|kids,54330,0.006607767347690042
ADHD,substantive_core_overall,problem,346,329,4.81,0.4762499999999999,3.52,problem,54330,0.006368488864347506
ADHD,substantive_core_overall,student,315,253,4.25,0.40625,6.41,student,54330,0.005797901711761457
ADHD,substantive_core_overall,spectrum,309,284,3.05,0.25625,6.6499999999999995,spectrum,54330,0.005687465488680287
ADHD,substantive_core_overall,issue,283,273,4.55,0.44375,3.9500000000000006,issue,54330,0.005208908521995214
Autism,clinical_only,disorder,5360,4064,4.9,0.4875000000000001,3.76,disorder,71954,0.07449203657892542
Autism,clinical_only,child,3437,2754,5.21,0.52625,6.78,child|children,71954,0.047766628679434084
Autism,clinical_only,disability,850,759,3.9,0.3625,2.95,disability,71954,0.011813102815687801
Autism,clinical_only,cause,847,737,3.48,0.31,5.14,cause,71954,0.011771409511632433
Autism,clinical_only,vaccine,776,592,6.45,0.68125,6.48,vaccine,71954,0.01078466798232204
Autism,clinical_only,include,754,709,3.05,0.25625,6.39,include,71954,0.010478917085916003
Autism,clinical_only,people,704,615,3.77,0.34625,5.7,people,71954,0.00978402868499319
Autism,clinical_only,spectrum,635,556,3.05,0.25625,6.65,spectrum,71954,0.008825082691719709
Autism,clinical_only,diagnose,622,573,3.72,0.34,5.0,diagnose,71954,0.008644411707479779
Autism,clinical_only,condition,610,579,3.96,0.37,4.605,condition|conditioning,71954,0.008477638491258304
Autism,clinical_only,link,586,534,3.15,0.26875,5.9,link,71954,0.008144092058815354
Autism,clinical_only,individual,582,502,3.47,0.30875,6.17,individual,71954,0.008088500986741529
Autism,clinical_only,research,533,466,4.8,0.475,6.5,research,71954,0.007407510353837174
Autism,clinical_only,treatment,532,467,4.47,0.43374999999999997,5.0,treatment,71954,0.007393612585818717
Autism,clinical_only,study,515,467,2.55,0.19374999999999998,5.78,study,71954,0.007157350529504961
Autism,clinical_only,syndrome,500,453,4.68,0.45999999999999996,4.33,syndrome,71954,0.006948884009228118
Autism,clinical_only,diagnosis,496,459,4.0,0.375,4.62,diagnosis,71954,0.006893292937154293
Autism,clinical_only,brain,426,377,3.3500000000000005,0.29375,6.22,brain,71954,0.005920449175862356
Autism,clinical_only,disease,423,378,5.49,0.56125,1.9600000000000002,disease|diseased,71954,0.005878755871806988
