lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag
2018,loneliness,unframed_baseline,3430,2749,13168,10935,10937,3389,0.8305741190765492,0.9880466472303207,False
2018,sadness,unframed_baseline,5569,4791,19900,16301,16302,5495,0.8191959798994974,0.9867121565810738,False
2019,ADHD,clinical_only,1000,674,3957,3214,3214,969,0.8122314885013899,0.969,False
2019,ADHD,lived_only,299,223,1027,832,833,294,0.8111002921129503,0.9832775919732442,False
2019,ADHD,mixed,142,120,504,421,421,137,0.8353174603174603,0.9647887323943662,False
2019,ADHD,substantive_core_overall,1441,957,5488,4467,4468,1400,0.8141399416909622,0.9715475364330326,False
2019,Autism,clinical_only,1717,1097,7605,6078,6084,1711,0.8,0.9965055329062318,False
2019,Autism,lived_only,1191,833,4782,3879,3881,1176,0.8115851108322878,0.9874055415617129,False
2019,Autism,mixed,546,403,2375,1920,1920,540,0.8084210526315789,0.989010989010989,False
2019,Autism,substantive_core_overall,3454,2104,14762,11877,11885,3427,0.8051077089825227,0.9921829762594094,False
2019,frustration,unframed_baseline,8615,7720,31897,26598,26606,8514,0.8341223312537229,0.9882762623331399,False
2019,loneliness,unframed_baseline,3142,2523,12066,10139,10141,3105,0.8404607989391679,0.9882240611075748,False
2019,sadness,unframed_baseline,4490,3859,16099,13396,13396,4437,0.8321013727560718,0.9881959910913141,False
2020,ADHD,clinical_only,959,668,3590,2912,2915,924,0.8119777158774373,0.9635036496350365,False
2020,ADHD,lived_only,312,240,1087,887,887,300,0.8160073597056118,0.9615384615384616,False
2020,ADHD,mixed,156,130,601,492,492,150,0.8186356073211315,0.9615384615384616,False
2020,ADHD,substantive_core_overall,1427,972,5278,4291,4294,1374,0.8135657446002273,0.9628591450595655,False
2020,Autism,clinical_only,1532,1031,6811,5350,5355,1518,0.7862281603288798,0.9908616187989556,False
2020,Autism,lived_only,1064,782,4208,3392,3394,1043,0.8065589353612167,0.9802631578947368,False
2020,Autism,mixed,525,388,2234,1788,1788,520,0.8003581020590869,0.9904761904761905,False
2020,Autism,substantive_core_overall,3121,1973,13253,10530,10537,3081,0.795065268241153,0.987183595001602,False
2020,frustration,unframed_baseline,8982,7943,33655,28112,28120,8870,0.8355370673005497,0.9875306167891338,False
2020,loneliness,unframed_baseline,4381,3445,17017,14259,14260,4345,0.8379855438678968,0.991782698014152,False
2020,sadness,unframed_baseline,5091,4368,18076,14996,14998,5031,0.8297189643726488,0.9882144961697112,False
2021,ADHD,clinical_only,928,636,3565,2917,2920,903,0.8190743338008415,0.9730603448275862,False
2021,ADHD,lived_only,299,232,1044,828,828,293,0.7931034482758621,0.979933110367893,False
2021,ADHD,mixed,180,150,690,535,535,173,0.7753623188405797,0.9611111111111111,False
2021,ADHD,substantive_core_overall,1407,941,5299,4280,4283,1369,0.8082657105114173,0.9729921819474058,False
2021,Autism,clinical_only,1413,924,6406,5090,5093,1398,0.7950359038401499,0.9893842887473461,False
2021,Autism,lived_only,994,709,3931,3223,3223,977,0.8198931569575172,0.9828973843058351,False
2021,Autism,mixed,551,407,2338,1874,1876,540,0.8023952095808383,0.9800362976406534,False
2021,Autism,substantive_core_overall,2958,1831,12675,10187,10192,2915,0.8041025641025641,0.9854631507775524,False
2021,frustration,unframed_baseline,7962,7108,29827,24790,24795,7885,0.8312937942132966,0.9903290630494851,False
2021,loneliness,unframed_baseline,3852,3024,14935,12439,12443,3818,0.8331436223635755,0.9911734164070612,False
2021,sadness,unframed_baseline,4219,3607,15112,12511,12513,4172,0.8280174695606141,0.988859919412183,False
2022,ADHD,clinical_only,930,634,3606,3006,3007,903,0.8338879645036051,0.9709677419354839,False
2022,ADHD,lived_only,356,254,1277,1007,1007,342,0.7885669537979639,0.9606741573033708,False
2022,ADHD,mixed,193,152,717,596,596,188,0.8312412831241283,0.9740932642487047,False
2022,ADHD,substantive_core_overall,1479,941,5600,4609,4610,1433,0.8232142857142857,0.9688979039891819,False
2022,Autism,clinical_only,1175,772,5278,4183,4184,1168,0.7927245168624479,0.9940425531914894,False
2022,Autism,lived_only,911,643,3557,2802,2802,885,0.7877424796176553,0.9714599341383096,False
2022,Autism,mixed,421,318,1832,1500,1500,419,0.8187772925764192,0.995249406175772,False
2022,Autism,substantive_core_overall,2507,1557,10667,8485,8486,2472,0.7955376394487672,0.9860390905464699,False
2022,frustration,unframed_baseline,6963,6275,26308,21850,21851,6833,0.8305838528204349,0.9813298865431567,False
