lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_warriner_mean,arousal_warriner_sd,arousal_scaled_mean,arousal_scaled_sd,valence_warriner_mean_for_reference,valence_scaled_mean_for_reference,dominance_warriner_mean_for_reference,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_warriner_bootstrap_mean,arousal_warriner_ci_low,arousal_warriner_ci_high,arousal_scaled_bootstrap_mean,arousal_scaled_ci_low,arousal_scaled_ci_high
2022,ADHD,lived_only,target,ADHD,4.0576929072486365,0.7818593438372383,0.3822116134060795,0.09773241797965475,5.681480904130943,0.5851851130163679,5.543741231488698,1283,490,252,356,254,2728,1283,1283,351,0.4703079178885631,0.9859550561797753,False,500,doc_id,4.055721871460502,4.008090973508643,4.105270427576011,0.3819652339325628,0.3760113716885803,0.38815880344700143
2023,ADHD,lived_only,target,ADHD,4.015403669724771,0.7494208798018239,0.37692545871559635,0.09367760997522798,5.730477064220183,0.5913096330275229,5.581834862385321,1090,427,215,299,216,2310,1090,1090,298,0.47186147186147187,0.9966555183946488,False,500,doc_id,4.016322478220176,3.97024164825046,4.064780043516781,0.377040309777522,0.37128020603130757,0.3830975054395977
2024,ADHD,lived_only,target,ADHD,4.0683783783783785,0.7665303299656374,0.3835472972972973,0.09581629124570468,5.690061028770706,0.5862576285963382,5.517297297297297,1147,457,226,313,227,2384,1147,1147,312,0.4811241610738255,0.9968051118210862,False,500,doc_id,4.0693546195606185,4.020289413171809,4.118492488749018,0.3836693274450772,0.37753617664647615,0.3898115610936272
2025,ADHD,lived_only,target,ADHD,4.055849753694581,0.7441140294776983,0.38198121921182265,0.09301425368471229,5.694174876847291,0.5867718596059114,5.529864532019705,812,355,147,216,148,1633,812,812,211,0.4972443355786895,0.9768518518518519,False,500,doc_id,4.05631670955464,4.00325664338551,4.116218291594031,0.38203958869433,0.3754070804231887,0.38952728644925383
2026,ADHD,lived_only,target,ADHD,4.0248878923766815,0.7127467747606636,0.3781109865470852,0.08909334684508294,5.421188340807174,0.5526485426008968,5.3740807174887895,446,226,76,109,76,846,446,446,109,0.5271867612293144,1.0,False,500,doc_id,4.0234634220341805,3.957157088744589,4.104482325039302,0.3779329277542725,0.36964463609307363,0.3880602906299128
2014,ADHD,mixed,target,ADHD,4.103135215453195,0.790305551119344,0.3878919019316493,0.09878819388991802,5.587102526002972,0.5733878157503715,5.515824665676077,673,320,152,183,152,1324,673,673,183,0.5083081570996979,1.0,False,500,doc_id,4.10532748703418,4.056616122808319,4.159735857462914,0.3881659358792725,0.3820770153510399,0.3949669821828643
2015,ADHD,mixed,target,ADHD,4.112256809338521,0.7931399121688301,0.3890321011673152,0.09914248902110379,5.445544747081713,0.5556930933852141,5.3373346303501945,514,257,108,128,109,952,514,516,127,0.542016806722689,0.9921875,False,500,doc_id,4.112228094492156,4.043020923901071,4.181469110568999,0.3890285118115196,0.3803776154876338,0.39768363882112484
2016,ADHD,mixed,target,ADHD,4.076441893830704,0.7760585798712686,0.3845552367288379,0.09700732248390855,5.553228120516499,0.5691535150645624,5.4735437589670015,697,340,141,182,142,1404,697,697,181,0.4964387464387464,0.9945054945054945,False,500,doc_id,4.077800697468764,4.016170151073944,4.142577630675722,0.38472508718359555,0.37702126888424303,0.39282220383446514
2017,ADHD,mixed,target,ADHD,4.113328785811733,0.7211732223367702,0.3891660982264666,0.09014665279209631,5.532701227830832,0.566587653478854,5.474993178717599,733,329,152,187,153,1433,733,734,185,0.5122121423586881,0.9893048128342246,False,500,doc_id,4.113398231224271,4.065062694218765,4.1700761283497885,0.3891747789030338,0.3831328367773457,0.3962595160437236
2018,ADHD,mixed,target,ADHD,4.099069111424542,0.7549435807983378,0.38738363892806776,0.09436794759979221,5.3985472496473905,0.5498184062059238,5.340747531734838,709,315,151,182,152,1352,709,709,181,0.5244082840236687,0.9945054945054945,False,500,doc_id,4.101712746394806,4.033210858186726,4.1670204726678275,0.38771409329935086,0.3791513572733407,0.3958775590834784
2019,ADHD,mixed,target,ADHD,4.070039138943248,0.7870256731707334,0.38375489236790605,0.09837820914634163,5.455949119373777,0.5569936399217221,5.375499021526419,511,249,120,142,120,1052,511,511,142,0.48574144486692017,1.0,False,500,doc_id,4.068597733229282,3.9917142873849993,4.141702205178684,0.3835747166536603,0.3739642859231249,0.3927127756473355
2020,ADHD,mixed,target,ADHD,4.055844370860927,0.7671117779602535,0.3819805463576159,0.09588897224503169,5.535745033112583,0.5669681291390729,5.4357947019867545,604,284,128,156,130,1184,604,604,154,0.5101351351351351,0.9871794871794872,False,500,doc_id,4.057005546339645,3.993824621553064,4.117824703467154,0.3821256932924556,0.3742280776941331,0.38972808793339414
2021,ADHD,mixed,target,ADHD,4.075154639175258,0.7770223008334173,0.38439432989690725,0.09712778760417717,5.426877761413844,0.5533597201767305,5.367304860088366,679,310,148,180,150,1367,679,679,177,0.4967081199707388,0.9833333333333333,False,500,doc_id,4.0738497353253775,4.017761110100745,4.131867476480354,0.3842312169156722,0.3772201387625931,0.39148343456004425
2022,ADHD,mixed,target,ADHD,3.997724230254351,0.7665637709948995,0.37471552878179387,0.0958204713743624,5.585100401606425,0.5731375502008033,5.505542168674699,747,354,151,193,152,1525,747,747,192,0.4898360655737705,0.9948186528497409,False,500,doc_id,3.9983365463013913,3.94029627469525,4.057618367499714,0.3747920682876739,0.36753703433690627,0.3822022959374643
2023,ADHD,mixed,target,ADHD,4.073727422003285,0.7665235074158778,0.3842159277504105,0.09581543842698466,5.610016420361248,0.576252052545156,5.501412151067323,609,312,122,159,122,1226,609,609,156,0.4967373572593801,0.9811320754716981,False,500,doc_id,4.072991968493237,4.005598877774212,4.134643447685637,0.3841239960616546,0.37569985972177644,0.39183043096070463
2024,ADHD,mixed,target,ADHD,4.02951048951049,0.7923248981308167,0.3786888111888112,0.09904061226635204,5.614510489510489,0.5768138111888111,5.478111888111888,572,294,119,154,122,1162,572,572,151,0.49225473321858865,0.9805194805194806,False,500,doc_id,4.031094671678719,3.95308462616671,4.111093709548596,0.3788868339598398,0.3691355782708387,0.3888867136935745
2025,ADHD,mixed,target,ADHD,3.9993103448275864,0.7582054867555325,0.3749137931034483,0.09477568584444154,5.476367816091954,0.5595459770114942,5.509701149425287,435,262,90,110,92,813,435,435,108,0.5350553505535055,0.9818181818181818,False,500,doc_id,3.995681243041158,3.9252747063758386,4.066258853483122,0.37446015538014477,0.3656593382969799,0.3832823566853903
2026,ADHD,mixed,target,ADHD,4.065084745762712,0.7515250545058877,0.38313559322033897,0.0939406318132359,5.647401129943503,0.5809251412429379,5.548022598870056,177,116,38,44,38,335,177,177,44,0.5283582089552239,1.0,True,500,doc_id,4.06359562044111,3.9452772248243564,4.201583004761196,0.38294945255513874,0.3681596531030445,0.40019787559514947
2014,ADHD,substantive_core_overall,target,ADHD,4.10916953979913,0.8021866479682174,0.38864619247489135,0.1002733309960272,5.4602998051266685,0.5575374756408334,5.390981861789836,6671,1226,1085,1779,1093,12719,6671,6673,1751,0.5246481641638494,0.9842608206857786,False,500,doc_id,4.10953060205936,4.088238444918252,4.130472891914565,0.38869132525741995,0.38602980561478156,0.39130911148932057
2015,ADHD,substantive_core_overall,target,ADHD,4.1051710526315786,0.7856232202668412,0.3881463815789473,0.09820290253335508,5.440449999999999,0.5550562499999999,5.4040061403508775,5700,1176,974,1547,993,10950,5700,5705,1515,0.5210045662100456,0.9793148028442146,False,500,doc_id,4.104323204423294,4.081652781893371,4.127318441731578,0.38804040055291183,0.3852065977366714,0.3909148052164473
2016,ADHD,substantive_core_overall,target,ADHD,4.09681240840254,0.7790411742153803,0.38710155105031757,0.09738014677692254,5.4143991206643864,0.5517998900830484,5.4046726917440155,6141,1227,1091,1640,1098,11812,6141,6142,1626,0.5199796816796478,0.9914634146341463,False,500,doc_id,4.097653317165367,4.074535230938413,4.119639813445102,0.38720666464567094,0.3843169038673017,0.3899549766806378
2017,ADHD,substantive_core_overall,target,ADHD,4.10033075889859,0.7945191183697697,0.3875413448623237,0.09931488979622115,5.430157824042982,0.5537697280053727,5.384833781061115,5956,1206,1061,1589,1070,11350,5956,5963,1561,0.5253744493392071,0.9823788546255506,False,500,doc_id,4.100231084659173,4.078679282210317,4.120574810055165,0.3875288855823967,0.3848349102762895,0.3900718512568956
2018,ADHD,substantive_core_overall,target,ADHD,4.109080515297906,0.7949122775685407,0.38863506441223833,0.09936403469606767,5.41372463768116,0.551715579710145,5.397070853462157,6210,1228,1058,1633,1067,11791,6210,6215,1613,0.5270969383428038,0.9877526025719534,False,500,doc_id,4.107988221452447,4.086375507958864,4.128388980934598,0.38849852768155585,0.38579693849485797,0.39104862261682477
2019,ADHD,substantive_core_overall,target,ADHD,4.1111871227364185,0.783078680716519,0.3888983903420523,0.09788483508956494,5.372323029083593,0.5465403786354491,5.381944393634535,5467,1103,948,1441,957,10414,5467,5468,1424,0.5250624159784905,0.9882026370575989,False,500,doc_id,4.11187146501549,4.089745669160228,4.135284729707626,0.38898393312693624,0.3862182086450285,0.3919105912134533
