lsc_year,analysis_unit,frame_stratum,term_role,target_group,breadth_mean_pairwise_cosine_distance,sampled_contexts,sampled_documents,sampled_domains,contexts_truncated_for_model,bootstrap_repetitions,bootstrap_unit,breadth_bootstrap_mean,breadth_ci_low,breadth_ci_high,available_contexts,markable_contexts,unmarkable_contexts,unmarkable_share,cap_applied,sampling_policy,top_domain,top_domain_share,max_contexts_per_unit_year_frame,small_cell_flag
2017,sadness,unframed_baseline,baseline,baseline,0.09084534534534539,1000,994,965,22,500,doc_id,0.0906160224868454,0.08433607705902298,0.09705775440285665,5397,5328,0,0.0,True,domain_stratified_baseline_cap,wordpress.com,0.004,1000,False
2018,sadness,unframed_baseline,baseline,baseline,0.09318343343343338,1000,999,943,29,500,doc_id,0.09314326843349298,0.08699995843120843,0.09938190278190279,5569,5500,0,0.0,True,domain_stratified_baseline_cap,diydecorhome.com,0.009,1000,False
2019,sadness,unframed_baseline,baseline,baseline,0.0924517017017017,1000,1000,979,31,500,doc_id,0.09232489964964967,0.0855519331831832,0.09912788882632632,4490,4439,0,0.0,True,domain_stratified_baseline_cap,jribas-digital.com,0.005,1000,False
2020,sadness,unframed_baseline,baseline,baseline,0.09796552802802805,1000,997,980,32,500,doc_id,0.09780915377140148,0.09175877283533532,0.10417583097877438,5091,5032,0,0.0,True,domain_stratified_baseline_cap,medium.com,0.007,1000,False
2021,sadness,unframed_baseline,baseline,baseline,0.10046415165165168,1000,996,982,35,500,doc_id,0.1001312907702008,0.09247663936254202,0.10809124988000351,4219,4177,0,0.0,True,domain_stratified_baseline_cap,badminton.de,0.003,1000,False
2022,sadness,unframed_baseline,baseline,baseline,0.09275050050050049,1000,996,960,65,500,doc_id,0.09255671821748732,0.08560594035542678,0.09885967057944975,3768,3729,0,0.0,True,domain_stratified_baseline_cap,depressiontalk.net,0.006,1000,False
2023,sadness,unframed_baseline,baseline,baseline,0.08815590590590594,1000,990,961,34,500,doc_id,0.08812860679181102,0.08196027260130152,0.0945114560036435,2698,2659,0,0.0,True,domain_stratified_baseline_cap,psychologytoday.com,0.009,1000,False
2024,sadness,unframed_baseline,baseline,baseline,0.08768912662662665,1000,992,933,37,500,doc_id,0.08760490354680317,0.0805699724208708,0.09430929023052236,2341,2315,0,0.0,True,domain_stratified_baseline_cap,yahoo.com,0.009,1000,False
2025,sadness,unframed_baseline,baseline,baseline,0.08765703203203201,1000,917,848,68,500,doc_id,0.08768044884420471,0.08080763730721145,0.09489598370840208,1921,1905,0,0.0,True,domain_stratified_baseline_cap,vercel.app,0.01,1000,False
2026,sadness,unframed_baseline,baseline,baseline,0.09079911639939886,649,550,500,24,500,doc_id,0.09047599899139004,0.08253470736348897,0.09858172798964181,657,649,0,0.0,False,domain_stratified_baseline_cap,onyourmindcounselling.com,0.04160246533127889,1000,False
