analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,valence_mean_for_cell
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,1,child,unigram,False,False,1514,1238,0.7689999999999999,1164.2659999999998,0.03340696106281024,0.0434420820062552,34851,5699,0.08466302975524376
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,2,developmental,unigram,False,False,303,282,0.704,213.31199999999998,0.006120685202720151,0.008694155117500215,34851,5699,0.08466302975524376
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,3,include,unigram,False,False,305,286,0.4593333333333334,140.0966666666667,0.00401987508727631,0.008751542279991966,34851,5699,0.08466302975524376
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,4,study,unigram,False,False,270,247,0.47333333333333333,127.8,0.003667039683222863,0.0077472669363863305,34851,5699,0.08466302975524376
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,5,like,unigram,False,False,145,140,0.77225,111.97625,0.0032129996269834437,0.004160569280651918,34851,5699,0.08466302975524376
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,1,disorder,unigram,False,False,1753,1351,-0.675,-1183.275,-0.0463738438626744,0.06870199090766578,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,2,disability,unigram,False,False,218,205,-0.854,-186.172,-0.007296284684119768,0.008543658880702304,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,3,adhd,unigram,False,True,296,260,-0.48400000000000004,-143.264,-0.0056146731462611696,0.011600564351779277,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,4,disease,unigram,False,False,145,137,-0.8360000000000001,-121.22000000000001,-0.004750744630819878,0.005682708888540524,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,5,spectrum,unigram,True,False,268,227,-0.376,-100.768,-0.003949208339865183,0.01050321366985421,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,1,child,unigram,False,False,1078,849,0.7689999999999999,828.9819999999999,0.03248871296441448,0.04224800125411506,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,2,developmental,unigram,False,False,219,202,0.704,154.176,0.00604232638344568,0.008582849976485342,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,3,include,unigram,False,False,270,256,0.45933333333333337,124.02000000000001,0.0048604796990123844,0.010581595861420285,25516,4320,0.06991934603124836
