analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_arousal_mean
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,4,struggle,unigram,struggle,False,False,65,63,0.7575000000000001,49.237500000000004,0.0028085962010153446,0.003707717757115966,17531,3213,0.015850337497385587
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,5,hyperactivity,unigram,hyperactivity,True,False,47,45,1.0,47.0,0.002680965147453083,0.002680965147453083,17531,3213,0.015850337497385587
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,1,treatment,unigram,treatment,False,False,195,168,-0.228,-44.46,-0.002849634662222792,0.012498397641328035,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,2,patient,unigram,patient,False,False,71,65,-0.614,-43.594,-0.00279412895782592,0.004550698628380977,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,3,add,unigram,add,True,False,415,361,-0.105,-43.574999999999996,-0.002792911165235226,0.026599153954621202,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,4,common,unigram,common,False,False,49,49,-0.746,-36.554,-0.0023429047558005387,0.00314062299705166,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,5,include,unigram,include,False,False,188,183,-0.18066666666666667,-33.965333333333334,-0.002176985856514122,0.012049737213177798,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,1,disorder,unigram,disorder,False,False,314,272,0.53,166.42000000000002,0.010666581207537496,0.020125624919882068,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,2,anxiety,unigram,anxiety,False,False,179,168,0.73,130.67,0.008375208306627354,0.01147288809127035,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,3,hyperactivity,unigram,hyperactivity,True,False,85,81,1.0,85.0,0.005448019484681451,0.005448019484681451,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,4,drug,unigram,drug,False,False,113,102,0.5419999999999999,61.245999999999995,0.003925522368927061,0.0072426611972824,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,5,hyperactive,unigram,hyperactive,True,False,47,41,0.842,39.574,0.0025364696833739264,0.0030124343032944495,15602,3073,0.021962942785113022
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,1,add,unigram,add,True,False,373,289,-0.105,-39.165,-0.0028429878048780487,0.027076074332171893,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,2,narcolepsy,unigram,narcolepsy,False,False,37,35,-1.0,-37.0,-0.002685830429732869,0.002685830429732869,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,3,sleep,unigram,sleep,False,False,45,36,-0.8063333333333335,-36.285000000000004,-0.002633928571428572,0.0032665505226480837,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,4,treatment,unigram,treatment,False,False,149,130,-0.228,-33.972,-0.00246602787456446,0.010815911730545876,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,5,patient,unigram,patient,False,False,54,52,-0.614,-33.156,-0.0024067944250871077,0.0039198606271777,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,1,disorder,unigram,disorder,False,False,337,294,0.53,178.61,0.012965301974448317,0.024462833914053426,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,2,anxiety,unigram,anxiety,False,False,227,222,0.73,165.71,0.012028890824622532,0.016477932636469222,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,3,hyperactivity,unigram,hyperactivity,True,False,78,71,1.0,78.0,0.005662020905923345,0.005662020905923345,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,4,issue,unigram,issue,False,False,71,67,0.5900000000000001,41.89000000000001,0.0030407955865272944,0.005153890824622532,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,5,drug,unigram,drug,False,False,73,60,0.5419999999999999,39.565999999999995,0.0028720963995354236,0.0052990708478513355,13776,2742,0.028863706204026326
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,1,treatment,unigram,treatment,False,False,140,114,-0.228,-31.92,-0.002848219862585884,0.012492192379762648,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,2,common,unigram,common,False,False,42,39,-0.746,-31.332,-0.002795752654590881,0.0037476577139287947,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,3,individual,unigram,individual,False,False,83,78,-0.346,-28.717999999999996,-0.002562505576871598,0.007406085482287856,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,4,patient,unigram,patient,False,False,44,40,-0.614,-27.016,-0.002410636209511912,0.003926117605068261,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,5,sleep,unigram,sleep,False,False,30,25,-0.8063333333333333,-24.19,-0.002158472383331846,0.002676898367091996,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,1,anxiety,unigram,anxiety,False,False,208,193,0.73,151.84,0.01354867493530829,0.018559828678504506,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,2,disorder,unigram,disorder,False,False,230,208,0.53,121.9,0.010877130364950478,0.020522887481038636,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,3,hyperactivity,unigram,hyperactivity,True,False,46,44,1.0,46.0,0.0041045774962077276,0.0041045774962077276,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,4,issue,unigram,issue,False,False,63,61,0.5900000000000001,37.17,0.0033166770768269832,0.005621486570893191,11207,2089,0.025308012849112164
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,5,spectrum,unigram,spectrum,False,True,73,68,0.4,29.200000000000003,0.0026055144106362097,0.006513786026590524,11207,2089,0.025308012849112164
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,1,parent,unigram,parent,False,False,44,38,-0.286,-12.584,-0.0037197753473248597,0.01300620750812888,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,2,add,unigram,add,True,False,76,65,-0.105,-7.9799999999999995,-0.002358853088974283,0.022465267514040793,3383,890,-0.01265515321706572
