lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_mean,arousal_sd,valence_mean_for_reference,dominance_mean_for_reference,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_bootstrap_mean,arousal_ci_low,arousal_ci_high,top5_collocate_share
2014,ADHD,clinical_only,target,ADHD,0.0282104316269014,0.3428062319506036,0.061855598023318664,0.04158286232723342,4317,1157,791,1286,808,4888,4317,4443,1249,0.9089607201309329,0.9712286158631416,False,500,doc_id,0.02845381761971047,0.018364425248694426,0.03972978802309369,0.1241602965022006
2015,ADHD,clinical_only,target,ADHD,0.02046265615576807,0.3382592561919901,0.07481962177996036,0.045728840354958215,3869,1119,763,1203,774,4464,3869,3979,1171,0.891353046594982,0.9733998337489609,False,500,doc_id,0.020513226873791198,0.008862996031127408,0.033627053093315214,0.12199534763504781
2016,ADHD,clinical_only,target,ADHD,0.031395047395425695,0.33981871135776565,0.03880205235237846,0.028799799982607184,3833,1112,784,1149,790,4295,3833,3933,1124,0.9157159487776484,0.9782419495213229,False,500,doc_id,0.03188060040153439,0.01917358374894043,0.045065507045241746,0.13305504826506653
2017,ADHD,clinical_only,target,ADHD,0.036331102763865704,0.34370517034104875,0.03903646355036171,0.035292547764793174,3594,1107,735,1099,751,4123,3594,3709,1063,0.8995876788746059,0.9672429481346679,False,500,doc_id,0.0367272916733464,0.02330734415987863,0.04961705844912767,0.13049526989426824
2018,ADHD,clinical_only,target,ADHD,0.03419725686801989,0.345062502070878,0.03988065541697237,0.024145190348088368,4089,1154,782,1182,787,4602,4089,4193,1164,0.9111255975662755,0.9847715736040609,False,500,doc_id,0.034035867541569266,0.022803876536335435,0.04724988587128418,0.13646368305209097
2019,ADHD,clinical_only,target,ADHD,0.03830543405275779,0.346617655353904,0.010419069544364508,0.0154282206235012,3475,1004,664,1000,674,3957,3475,3571,981,0.9024513520343694,0.981,False,500,doc_id,0.03891582041577019,0.025258905209003372,0.0524952213192848,0.13669064748201437
2020,ADHD,clinical_only,target,ADHD,0.04022822066326531,0.34013653694758034,0.03143985969387755,0.025446901573129253,3136,949,662,959,668,3590,3136,3237,932,0.9016713091922005,0.9718456725755996,False,500,doc_id,0.04029059761712304,0.027727038459036412,0.053452914811087014,0.12723214285714285
2021,ADHD,clinical_only,target,ADHD,0.03444953310250761,0.3533513355813124,0.025841490924352114,0.010944465428601407,3177,1033,634,928,636,3565,3177,3272,911,0.91781206171108,0.9816810344827587,False,500,doc_id,0.03466740873914075,0.021330534035310135,0.04922623043001653,0.11614730878186968
2022,ADHD,clinical_only,target,ADHD,0.015353086612533833,0.3409098124777323,0.059404096398084534,0.042366291900895275,3202,992,624,930,634,3606,3202,3305,906,0.9165280088740987,0.9741935483870968,False,500,doc_id,0.015562289071031687,0.0026795595568385793,0.028980089355318955,0.10930668332292318
2023,ADHD,clinical_only,target,ADHD,0.03946955782312925,0.3431968108854987,0.05814565018315018,0.05626412218733647,2548,861,470,750,477,2845,2548,2598,729,0.9131810193321617,0.972,False,500,doc_id,0.03964648005526919,0.026013902716245277,0.05321357056098521,0.12127158555729985
