lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_mean,arousal_sd,valence_mean_for_reference,dominance_mean_for_reference,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_bootstrap_mean,arousal_ci_low,arousal_ci_high
2022,ADHD,substantive_core_overall,target,ADHD,-0.0299118931475029,0.26908215474069,0.08227033168570888,0.031990676336331465,8815,1698,940,1479,941,10803,8815,9470,1470,0.8766083495325373,0.9939148073022313,False,500,doc_id,-0.02988447865400465,-0.03579916107808235,-0.02308513985382524
2023,ADHD,substantive_core_overall,target,ADHD,-0.025779444477945952,0.2713303113211225,0.07905466106521404,0.0287226520466073,7107,1493,751,1208,752,8678,7107,7577,1193,0.8731274487209034,0.9875827814569537,False,500,doc_id,-0.02567081788586279,-0.03280282067294545,-0.018697931008859515
2024,ADHD,substantive_core_overall,target,ADHD,-0.025732250891237506,0.27174441905747226,0.07204852954566147,0.029877963846223883,6799,1434,727,1171,729,8407,6799,7243,1159,0.861543951469014,0.9897523484201537,False,500,doc_id,-0.025840526239486485,-0.03285528233622648,-0.01800422514009858
2025,ADHD,substantive_core_overall,target,ADHD,-0.014466023642328442,0.2754066347966868,0.0861894843152672,0.044610360238230805,5269,1276,571,904,572,6486,5269,5587,889,0.8613937711995067,0.9834070796460177,False,500,doc_id,-0.014616885166604646,-0.023122166904058793,-0.006417265918557063
2026,ADHD,substantive_core_overall,target,ADHD,-0.018149590102707745,0.2669220331314022,0.07837841456582634,0.043741501400560226,2550,829,259,424,259,3167,2550,2720,424,0.8588569624250079,1.0,False,500,doc_id,-0.017907916807593113,-0.030000160952071874,-0.005055688688490625
2014,Autism,clinical_only,target,Autism,-0.023821216360403078,0.27357423923613794,0.08033640084304815,0.0305800644141474,18075,2445,1708,2850,1708,22685,18075,19226,2847,0.8475203879215341,0.9989473684210526,False,500,doc_id,-0.023836012876402617,-0.028379941731525853,-0.01950652928398009
2015,Autism,clinical_only,target,Autism,-0.022187229583776637,0.27203454518458753,0.07402671438243544,0.026086276522193922,13293,2145,1321,2083,1322,16685,13293,14130,2082,0.8468684447108181,0.99951992318771,False,500,doc_id,-0.02231613968197113,-0.027350010333096537,-0.01715344905369515
2016,Autism,clinical_only,target,Autism,-0.015631392079879788,0.2724420169541946,0.06275223813678445,0.02517196209587514,13754,2236,1392,2175,1392,17076,13754,14594,2175,0.8546498008901382,1.0,False,500,doc_id,-0.015669681692235822,-0.02072356722400909,-0.010450822839940324
2017,Autism,clinical_only,target,Autism,-0.01730844743165435,0.2778317550118674,0.06445439202974113,0.025194251447008507,12604,2177,1289,1984,1290,15661,12604,13382,1982,0.8544792797394802,0.998991935483871,False,500,doc_id,-0.017504364075836953,-0.02299521488455518,-0.011598903822200019
2018,Autism,clinical_only,target,Autism,-0.013184905938866969,0.27560978653845514,0.06403237796205351,0.02047786141749188,12421,2115,1276,1959,1277,15426,12421,13201,1956,0.8557629975366264,0.998468606431853,False,500,doc_id,-0.013224416863141566,-0.01840639928894152,-0.007257641113152229
2019,Autism,clinical_only,target,Autism,-0.01578482402786442,0.27638327188077055,0.06922182756290289,0.024329023922159836,10992,1972,1097,1717,1097,13578,10992,11658,1717,0.8585947856827221,1.0,False,500,doc_id,-0.015593525157138572,-0.0217876275967043,-0.009819168221137714
2020,Autism,clinical_only,target,Autism,-0.011171980614364682,0.2762277385831533,0.05490799996981998,0.018908720769389407,9467,1846,1031,1532,1031,11895,9467,10082,1532,0.8475830180748214,1.0,False,500,doc_id,-0.011110895417801114,-0.01791329991068171,-0.005064075524047422
2021,Autism,clinical_only,target,Autism,-0.01611560082898486,0.2738904190487956,0.0609939361977721,0.019591893342215314,9007,1777,924,1413,924,11172,9007,9553,1412,0.8550841389187254,0.9992922859164898,False,500,doc_id,-0.016043366841257456,-0.022446220381348064,-0.009078850590374991
2022,Autism,clinical_only,target,Autism,-0.013156745762711862,0.28130818663742657,0.06351538531073446,0.018952698305084746,7375,1563,772,1175,772,9174,7375,7833,1174,0.8538260300850229,0.9991489361702127,False,500,doc_id,-0.013493068244456055,-0.021516090196313273,-0.006159503535446345
2023,Autism,clinical_only,target,Autism,-0.011060104504279893,0.2774623708779146,0.07458579739050943,0.03053525374664118,6876,1477,677,1092,678,8519,6876,7258,1090,0.8519779316821223,0.9981684981684982,False,500,doc_id,-0.011133496724965235,-0.018751197199610155,-0.002873241255749392
2024,Autism,clinical_only,target,Autism,-0.008111407504072734,0.2801130034997675,0.06384870567965678,0.02611988690156342,5583,1217,592,900,592,6948,5583,5939,899,0.8547783534830167,0.9988888888888889,False,500,doc_id,-0.00761730697819131,-0.015546890326247582,0.0010954086154874487
2025,Autism,clinical_only,target,Autism,-0.0015957391608042678,0.27796940763790834,0.09838180911041261,0.06099683430624158,6681,1402,634,1044,634,8244,6681,7045,1044,0.8545608927704997,1.0,False,500,doc_id,-0.0013623576676506724,-0.009231552698078299,0.005625623230088013
2026,Autism,clinical_only,target,Autism,-0.015722230828074196,0.26274549387772567,0.09080468827691719,0.03965347198317078,2490,735,242,382,242,3049,2490,2630,382,0.8625778943916038,1.0,False,500,doc_id,-0.01602865744768555,-0.027826616668147976,-0.0027042073050529956
2014,Autism,lived_only,target,Autism,-0.04948620022414457,0.24066914325368016,0.1590757669947116,0.051945437432143735,8158,1775,937,1303,937,10515,8158,8805,1303,0.8373751783166904,1.0,False,500,doc_id,-0.04959930694852196,-0.05491296519795204,-0.04390452007829553
2015,Autism,lived_only,target,Autism,-0.04746389093190274,0.2431800647566088,0.14796306206916443,0.046758451587782295,6604,1575,741,1055,741,8482,6604,7149,1055,0.8428436689460033,1.0,False,500,doc_id,-0.047854358195200446,-0.054400418908859605,-0.041443268054409496
2016,Autism,lived_only,target,Autism,-0.04786410754032214,0.24497535490097816,0.16768317681435918,0.06012949711084065,8686,1737,931,1367,931,11130,8686,9337,1367,0.8389038634321653,1.0,False,500,doc_id,-0.047762412085922676,-0.053111346428793484,-0.04213012251977708
2017,Autism,lived_only,target,Autism,-0.04825973972092393,0.24283103382366572,0.1604727463365621,0.05636422305764411,8436,1776,959,1368,959,10993,8436,9130,1364,0.8305285181479123,0.9970760233918129,False,500,doc_id,-0.04841132188181784,-0.053849550472366926,-0.043132840396630893
2018,Autism,lived_only,target,Autism,-0.04912707469069244,0.23486434368786907,0.161009481167419,0.058946028801695936,7817,1714,873,1239,873,9947,7817,8401,1239,0.844576254146979,1.0,False,500,doc_id,-0.049175640224337354,-0.054607059747730696,-0.04376140820238401
2019,Autism,lived_only,target,Autism,-0.05064487885838374,0.2396330251854869,0.16723334108887855,0.06445169877462385,7675,1629,833,1191,833,9671,7675,8216,1191,0.8495502016337504,1.0,False,500,doc_id,-0.05046313190342083,-0.05616888210908454,-0.04496345741230839
2020,Autism,lived_only,target,Autism,-0.05040809523809523,0.24495354714017692,0.15704514185538979,0.05579933776966835,6655,1537,781,1064,782,8599,6655,7157,1063,0.8323060821025701,0.9990601503759399,False,500,doc_id,-0.05050197937888143,-0.05676201700128843,-0.04358204236702825
2021,Autism,lived_only,target,Autism,-0.050155287511230905,0.23786565999964587,0.15559747267145851,0.04895012915543576,6360,1473,709,994,709,8064,6360,6879,994,0.8530505952380952,1.0,False,500,doc_id,-0.050131432232498795,-0.05642422487108404,-0.04364868852807216
2022,Autism,lived_only,target,Autism,-0.05379051276230831,0.23494090737058482,0.1614755187315039,0.06251816779324725,5664,1428,643,911,643,7267,5664,6065,910,0.8345947433603963,0.9989023051591658,False,500,doc_id,-0.053792285786722106,-0.06068576934278728,-0.04720258572755379
2023,Autism,lived_only,target,Autism,-0.05017700571428571,0.23799162463184498,0.15673341333333332,0.061900415238095245,4375,1169,469,687,470,5552,4375,4658,686,0.8389769452449568,0.9985443959243085,False,500,doc_id,-0.05009747071723611,-0.057727920086311384,-0.04203751649991003
2024,Autism,lived_only,target,Autism,-0.04748721483272874,0.24037157932124653,0.150743192261185,0.06448221684804514,4135,1121,454,651,454,5269,4135,4424,651,0.8396280129056747,1.0,False,500,doc_id,-0.047346488634517715,-0.056063799275171536,-0.03878304927157799
2025,Autism,lived_only,target,Autism,0.00936553450400493,0.3218058479691288,0.09898042975970425,0.08791963955637708,4328,1054,566,746,566,5333,4328,4559,746,0.85486592912057,1.0,False,500,doc_id,0.009412987595482938,-0.0022625317383879445,0.02160743072823708
2026,Autism,lived_only,target,Autism,-0.043735169981146994,0.23423564531284805,0.15713538587848933,0.06368427446329746,1566,579,170,250,170,2019,1566,1677,250,0.8306092124814265,1.0,False,500,doc_id,-0.04380646217792444,-0.05662922325277094,-0.030385825829847554
2014,Autism,mixed,target,Autism,-0.03808895987033311,0.25668661857462743,0.13816909903867652,0.05656627878381399,4260,1122,502,660,502,5330,4260,4546,660,0.8529080675422139,1.0,False,500,doc_id,-0.037817015871702025,-0.04584357713248098,-0.02942784480920791
2015,Autism,mixed,target,Autism,-0.04350231264919761,0.24374011178721136,0.14714597839135654,0.057110070234990554,3451,992,413,539,413,4374,3451,3697,539,0.8452217649748514,1.0,False,500,doc_id,-0.04365161902341509,-0.052154960862306296,-0.03398083758350278
2016,Autism,mixed,target,Autism,-0.04478793055647969,0.2436742581100124,0.1475751868609577,0.0587602413112427,4294,1165,501,678,501,5493,4294,4594,678,0.8363371563808484,1.0,False,500,doc_id,-0.04488583764171825,-0.05188833271537118,-0.03700843898826494
2017,Autism,mixed,target,Autism,-0.05092101879855305,0.24469675080723052,0.14019990096661328,0.04706408290339797,4015,1063,457,627,457,5090,4015,4295,627,0.843811394891945,1.0,False,500,doc_id,-0.05092180883525623,-0.05995076629839391,-0.04307414211541584
2018,Autism,mixed,target,Autism,-0.04330070042194093,0.24457781385966465,0.13325406329113926,0.05134031645569621,3950,1076,477,620,477,4948,3950,4228,620,0.8544866612772838,1.0,False,500,doc_id,-0.043214816231523595,-0.050291297240200296,-0.03555051498779262
2019,Autism,mixed,target,Autism,-0.0353592417315045,0.25237988232293884,0.13971199566856501,0.05716074235982995,3562,996,403,546,403,4498,3562,3867,546,0.859715429079591,1.0,False,500,doc_id,-0.035680103234914155,-0.04455476944810214,-0.02674429371337285
2020,Autism,mixed,target,Autism,-0.04266297500903455,0.25342769932739706,0.13039587329385927,0.049788771439690876,3426,1001,388,525,388,4302,3426,3664,525,0.8516968851696886,1.0,False,500,doc_id,-0.04277341119454279,-0.05392128252069321,-0.03352217395329987
2021,Autism,mixed,target,Autism,-0.04148579207251082,0.2448402204251368,0.14480941017316018,0.05496617762445888,3520,1016,407,551,407,4421,3520,3766,551,0.8518434743270753,1.0,False,500,doc_id,-0.04136893920877269,-0.05148753881595336,-0.03156626032983752
2022,Autism,mixed,target,Autism,-0.04538777295210519,0.24972496723008367,0.14099298467848959,0.056224339486065866,2763,852,318,421,318,3415,2763,2948,421,0.8632503660322108,1.0,False,500,doc_id,-0.04567218230887863,-0.05657700547367163,-0.03447538104869935
2023,Autism,mixed,target,Autism,-0.029542021424596547,0.25497591713222095,0.1321129243183083,0.06600765164162493,2396,799,282,372,283,2976,2396,2548,371,0.8561827956989247,0.9973118279569892,False,500,doc_id,-0.029491471162822035,-0.04004696624993458,-0.017430627908006237
2024,Autism,mixed,target,Autism,-0.03039948250143431,0.2515039905688446,0.15093095467584625,0.07823892713711991,2075,724,229,315,229,2574,2075,2219,315,0.8620823620823621,1.0,False,500,doc_id,-0.030237095982056792,-0.04348205968734932,-0.015471618561954321
2025,Autism,mixed,target,Autism,-0.02013324095985386,0.26602723501240694,0.15777360817038236,0.08543518391663553,2294,773,273,357,273,2887,2294,2425,357,0.8399722895739522,1.0,False,500,doc_id,-0.020107071428033352,-0.03060046830757826,-0.008733921242587558
2026,Autism,mixed,target,Autism,-0.04355295588051493,0.2517589885552687,0.15729491938507686,0.057406908511436074,762,344,84,120,84,948,762,792,120,0.8354430379746836,1.0,False,500,doc_id,-0.044668287126456374,-0.06584450841044545,-0.02169552178308185
2014,Autism,substantive_core_overall,target,Autism,-0.03268080792937645,0.2630336654810126,0.10948155033239479,0.03992647133690324,30493,3532,2858,4813,2858,38530,30493,32577,4810,0.8454970153127433,0.9993766881362975,False,500,doc_id,-0.03265448044675509,-0.0360302102862703,-0.029173909738622945
2015,Autism,substantive_core_overall,target,Autism,-0.032487273407735544,0.26034067634928293,0.10574721379214698,0.03651895410639843,23348,3182,2252,3677,2252,29541,23348,24976,3676,0.8454690091736908,0.9997280391623606,False,500,doc_id,-0.0326187006024839,-0.03660617984190621,-0.02893145464708609
2016,Autism,substantive_core_overall,target,Autism,-0.030787056877812094,0.2597346478253951,0.110468998635588,0.04192475704204028,26734,3310,2553,4220,2553,33699,26734,28525,4220,0.8464642867740882,1.0,False,500,doc_id,-0.03075092903277258,-0.034398680679156406,-0.027214125123994234
2017,Autism,substantive_core_overall,target,Autism,-0.033116053729414334,0.26177992570871794,0.1089217261073258,0.03919374271840047,25055,3280,2439,3979,2439,31744,25055,26807,3973,0.8444745463709677,0.9984920834380497,False,500,doc_id,-0.033172447074777456,-0.03679623459585119,-0.029425124851528713
2018,Autism,substantive_core_overall,target,Autism,-0.02971861361792939,0.258630670126352,0.10667731234299574,0.03794984594879791,24188,3234,2369,3818,2369,30321,24188,25830,3815,0.8518848322944494,0.999214248297538,False,500,doc_id,-0.02972109689842038,-0.033762016794370305,-0.026272920117536847
2019,Autism,substantive_core_overall,target,Autism,-0.03095757119078681,0.26086635818024384,0.11435765666471726,0.043443159086478625,22229,3026,2104,3454,2104,27747,22229,23741,3454,0.8556240314268209,1.0,False,500,doc_id,-0.030898262753660158,-0.034861950808699964,-0.02673066955195843
2020,Autism,substantive_core_overall,target,Autism,-0.030048821703840118,0.2626234013897647,0.10291005303185322,0.036879976638701316,19548,2869,1972,3121,1973,24796,19548,20903,3120,0.8429988707856105,0.99967958987504,False,500,doc_id,-0.03018850614783532,-0.03410600589367364,-0.02601224802893696
2021,Autism,substantive_core_overall,target,Autism,-0.03230639240394627,0.25737279228101856,0.10847151126877393,0.036070733838089696,18887,2775,1831,2958,1831,23657,18887,20198,2957,0.8537853489453439,0.9996619337390128,False,500,doc_id,-0.03236241271918758,-0.036441462118749275,-0.027821920341088092
