registered_domain,hits
blogspot.com,19
healthline.com,7
medindia.net,6
wordpress.com,6
mfnnews.com,6
sittercity.com,5
cnn.com,4
myaspergerschild.com,4
rayapp.co.uk,4
timesofcbd.com,4
