measure,measure_order,analysis_unit,term_role,target_group,frame_stratum,year_basis,index_name,n_years,year_center,linear_intercept,linear_slope_per_year,linear_slope_se,linear_p_value,linear_r_squared,linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared,source_path
Intensity,3,frustration,baseline,baseline,unframed_baseline,publication year,arousal_mean,13,2020.0,-0.0242500535108794,-0.000260887366507,0.0002119445991484,0.2440225156844957,0.1210666799839563,0.0411636508915888,-0.3479463751556494,0.608791886187977,0.6170790023033361,True,-0.0009987010030972,0.0497048348348776,0.477426440714978,0.4362627898233892,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,loneliness,baseline,baseline,unframed_baseline,publication year,arousal_mean,13,2020.0,-0.0238633697842962,7.573665042026155e-05,0.000358273981239,0.8364460203376556,0.0040460219412108,-0.0864952487914063,0.0636083480465487,1.8224144799412616,0.0804604210053071,False,,,0.1335618018051967,0.220057050596603,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,sadness,baseline,baseline,unframed_baseline,publication year,arousal_mean,13,2020.0,-0.0020629545400777,0.0019716152344307,0.0002581666146225,1.0129811492480112e-05,0.8413238314479056,0.826898725215897,0.9172370639305336,2.380032398149248,-0.197611720085733,False,,,0.8129403342991744,-0.0139583909167225,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,ADHD,target,ADHD,clinical_only,publication year,arousal_mean,13,2020.0,-0.0190263752373219,0.0013114479985479,0.0004137297688536,0.0089215102469533,0.4773786950987809,0.4298676673804883,0.6909259693330256,2.718894351941462,-0.3896423953645136,False,,,0.3855720075847345,-0.0442956597957537,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,ADHD,target,ADHD,lived_only,publication year,arousal_mean,13,2020.0,-0.0393462304208409,0.0013644124161583,0.0006773577276452,0.0690870769131784,0.2694655098148701,0.2030532834344037,0.5191006740651282,1.6391663297053745,0.1447830058915975,False,,,0.1253870683981608,-0.0776662150362429,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,ADHD,target,ADHD,mixed,publication year,arousal_mean,13,2020.0,-0.0321635926276946,0.0006870637746613,0.0008104413103523,0.4146347652684679,0.0613297680362827,-0.0240038894149643,0.2476484767493696,1.8060037001143123,0.0756299879858068,False,,,0.0841558260802328,0.1081597154951972,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,ADHD,target,ADHD,substantive_core_overall,publication year,arousal_mean,13,2020.0,-0.0250041906787861,0.0010128634634197,0.000374236285173,0.0204188858465672,0.3997284716988075,0.3451583327623354,0.6322408336218153,1.881084110206786,0.0499884831398566,False,,,0.2973368139787004,-0.047821518783635,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,Autism,target,Autism,clinical_only,publication year,arousal_mean,13,2020.0,-0.0142193711250567,0.0010994608568427,0.0002945129931578,0.0033053131776678,0.558877797816786,0.5187757794364938,0.7475812984664518,2.1796593662075185,-0.4237901779892886,False,,,0.5332039740957828,0.014428194659289,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,Autism,target,Autism,lived_only,publication year,arousal_mean,13,2020.0,-0.0445564341155508,0.0016789659158886,0.0011616622187271,0.1762498745454694,0.1595952134687652,0.0831947783295621,0.3994936964067961,2.260692334309822,-0.1530698664351596,False,,,0.1348660613845638,0.0516712830550016,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Intensity,3,Autism,target,Autism,mixed,publication year,arousal_mean,13,2020.0,-0.0391634157560045,0.0010739091831117,0.0005559257346449,0.0795496668667482,0.2533086367861136,0.1854276037666693,0.5032977615548411,1.924830423953936,-0.1086802290888538,False,,,0.1452827247724801,-0.0401448789941891,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
