analysis_unit,analysis_role,frame_stratum,index_name,n_years,year_center,linear_intercept,linear_slope_per_year,linear_slope_se,linear_p_value,linear_r_squared,linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared
ADHD,target,source_year_salience,primary_salience_per_million_tokens,13,2020.0,0.3663712511001004,0.007271913418121355,0.004285797255046573,0.11782383256029755,0.20743285094308261,0.13538129193790838,0.4554479673278634,1.8657989178878573,-0.16314826032241078,False,,,0.18265810700580798,0.0472768150678996
Autism,target,source_year_salience,primary_salience_per_million_tokens,13,2020.0,0.8104729394372241,-0.022806503064720988,0.008719074152671917,0.024012020980657096,0.38347369765771466,0.3274258519902342,-0.6192525314100175,1.6743744687167526,0.014780201508792995,False,,,0.46278588273498544,0.13536003074475123
frustration,baseline,source_year_salience,primary_salience_per_million_tokens,13,2020.0,1.0802792573591447,-0.017517143345339988,0.01674517453701653,0.31795752770501334,0.0904826882859101,0.007799296311901904,-0.3008034047112996,0.9253970094174092,0.38395984960038715,True,0.015956947232762055,0.5383152855645501,0.7251639727618664,0.7173646764499645
loneliness,baseline,source_year_salience,primary_salience_per_million_tokens,13,2020.0,0.32350309164126967,0.0055800894224278825,0.0021091735138523823,0.022763343623034057,0.3888668139317174,0.3333092515618735,0.6235918648697377,2.167815244172941,-0.16053466841817673,False,,,0.267194439783777,-0.06611481177809653
sadness,baseline,source_year_salience,primary_salience_per_million_tokens,13,2020.0,0.5205483022278663,-0.01707195584552103,0.0038761892808566517,0.0010556144996661351,0.6381339017847365,0.6052369837651671,-0.7988328371973301,1.8037060803909601,-0.0007196224447244015,False,,,0.6730940909187891,0.06785710715362203
