measure,analysis_unit,frame_stratum,frame_label,diagnostic_role,value_column,linear_slope_per_year,linear_slope_se,linear_p_value,linear_adj_r_squared,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,n_years,year_center,quadratic_intercept,quadratic_year_coef,quadratic_year_squared_coef,quadratic_year_coef_se,quadratic_year_squared_coef_se,quadratic_year_coef_p_value,quadratic_year_squared_coef_p_value,quadratic_r_squared,quadratic_adj_r_squared,vertex_year,vertex_score,vertex_in_observed_window,curvature_direction,quadratic_delta_adj_r_squared,observed_2014,observed_2026
Breadth,ADHD,lived_only,Lived experience,flagged,breadth_mean_pairwise_cosine_distance,-0.0003664272929007,0.0006100949098967,0.5602728599395381,-0.0562702626154916,True,-0.0004368629232569,0.2469335465122979,13,2020.0,0.07918675304994266,-0.00036642729290077466,-7.602690505864292e-08,0.000639872934755014,0.00019292894891690388,0.5795242189301031,0.9996933305707704,0.031752274304924,-0.16189727083409133,-389.8527529046005,0.5207046633180987,False,inverted_u,-0.10562700821859974,0.079811326156665,0.0784982985912812
Breadth,Autism,substantive_core_overall,Overall,flagged,breadth_mean_pairwise_cosine_distance,0.0001187171607088,0.0002449620999605,0.6374416078577795,-0.0681030612701485,True,-0.0001331852011732,0.7526593741759209,13,2020.0,0.10188101288345917,0.00011871716070887916,-0.00018713683307682917,0.0001657855836173273,4.998623422806961e-05,0.49032062900036355,0.003822785442503409,0.5923122652875328,0.5107747183450393,2020.317193464154,0.10189984103718906,True,inverted_u,0.5788777796151878,0.0959553331457008,0.0977432637092193
Breadth,Autism,clinical_only,Clinical,flagged,breadth_mean_pairwise_cosine_distance,0.0007494536713758,0.0003145220955337,0.0363187483199891,0.2804846837660598,True,0.0001568265819714,0.7547916302192499,13,2020.0,0.09725974928095112,0.0007494536713758684,-0.0002694343329172025,0.00017018289487143087,5.131207345682131e-05,0.0013271561383056824,0.00037290692462670414,0.8244550704461036,0.7893460845353243,2021.3907909642796,0.09778091597809897,True,inverted_u,0.5088614007692644,0.0839083556819855,0.0908177470723216
Sentiment,ADHD,substantive_core_overall,Overall,flagged,valence_mean,0.002329942137577,0.0013529104364363,0.1129995263488931,0.140762472381776,True,0.0037487220739576,0.1473072861626688,13,2020.0,0.06398115776545865,0.0023299421375770155,0.0008524108101360317,0.0011018796239879553,0.00033222920699144896,0.060580150021749046,0.028095638984249015,0.5250343511402822,0.43004122136833867,2018.633322037994,0.06238901747937094,True,u_shaped,0.2892787489865627,0.0793680529082192,0.0905106528127623
Sentiment,ADHD,clinical_only,Clinical,flagged,valence_mean,0.0012510742992895,0.0015280581363269,0.4303181855811425,-0.0282488586078393,True,0.0035506902040281,0.2175871897353183,13,2020.0,0.032181914676454856,0.0012510742992895415,0.001207354536354205,0.0009823351570080034,0.0002961851940154916,0.23162092890227642,0.0022273668193871755,0.6458749821032903,0.5750499785239483,2019.481894397371,0.031857820374571265,True,u_shaped,0.6032988371317877,0.0618555980233186,0.0732690944881889
Sentiment,Autism,clinical_only,Clinical,flagged,valence_mean,0.0022499277325841,0.0014704713825556,0.1542342869384911,0.1005254054179259,True,0.0051821029437705,0.0396950298085043,13,2020.0,0.0673300128702662,0.0022499277325841857,0.001268480059690688,0.0007801082409451871,0.00023521148464357734,0.01627018913878765,0.00030445339954008287,0.7890380005819673,0.7468456006983607,2019.1131402833669,0.06633232773458386,True,u_shaped,0.6463201952804348,0.1002968349730833,0.1226330597504924
