lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag
2018,loneliness,unframed_baseline,3430,2749,27465,13400,13402,3424,0.4879665028217732,0.9982507288629737,False
2018,sadness,unframed_baseline,5569,4791,44473,20300,20301,5556,0.4564792121062218,0.9976656491291076,False
2019,ADHD,clinical_only,1000,674,7120,3851,3851,983,0.5408707865168539,0.983,False
2019,ADHD,lived_only,299,223,2242,1105,1106,299,0.4933095450490633,1.0,False
2019,ADHD,mixed,142,120,1052,511,511,142,0.48574144486692017,1.0,False
2019,ADHD,substantive_core_overall,1441,957,10414,5467,5468,1424,0.5250624159784905,0.9882026370575989,False
2019,Autism,clinical_only,1717,1097,13578,7126,7132,1712,0.5252614523493887,0.9970879440885265,False
2019,Autism,lived_only,1191,833,9671,4875,4877,1187,0.5042911798159446,0.9966414777497901,False
2019,Autism,mixed,546,403,4498,2297,2297,546,0.5106714095153402,1.0,False
2019,Autism,substantive_core_overall,3454,2104,27747,14298,14306,3445,0.5155872706959311,0.9973943254198031,False
2019,frustration,unframed_baseline,8615,7720,71472,32608,32614,8591,0.45631855831654355,0.9972141613464887,False
2019,loneliness,unframed_baseline,3142,2523,25202,12335,12337,3131,0.48952464090151576,0.9964990451941439,False
2019,sadness,unframed_baseline,4490,3859,35548,16610,16610,4477,0.46725554180263307,0.9971046770601336,False
2020,ADHD,clinical_only,959,668,6722,3569,3572,939,0.5313894674204106,0.9791449426485923,False
2020,ADHD,lived_only,312,240,2351,1190,1190,311,0.5061675882603147,0.9967948717948718,False
2020,ADHD,mixed,156,130,1184,604,604,154,0.5101351351351351,0.9871794871794872,False
2020,ADHD,substantive_core_overall,1427,972,10257,5363,5366,1404,0.523154918592181,0.9838822704975473,False
2020,Autism,clinical_only,1532,1031,11895,6201,6206,1528,0.5217318200924759,0.9973890339425587,False
2020,Autism,lived_only,1064,782,8599,4250,4252,1058,0.4944761018723107,0.9943609022556391,False
2020,Autism,mixed,525,388,4302,2155,2155,523,0.50092980009298,0.9961904761904762,False
2020,Autism,substantive_core_overall,3121,1973,24796,12606,12613,3109,0.508670753347314,0.9961550785004806,False
2020,frustration,unframed_baseline,8982,7943,74523,34436,34444,8970,0.4621928800504542,0.9986639946559787,False
2020,loneliness,unframed_baseline,4381,3445,35367,17503,17504,4372,0.49492464727005403,0.997945674503538,False
2020,sadness,unframed_baseline,5091,4368,40407,18658,18660,5079,0.46180117306407303,0.9976428992339422,False
2021,ADHD,clinical_only,928,636,6430,3456,3459,913,0.5379471228615863,0.9838362068965517,False
2021,ADHD,lived_only,299,232,2236,1099,1099,297,0.4915026833631485,0.9933110367892977,False
2021,ADHD,mixed,180,150,1367,679,679,177,0.4967081199707388,0.9833333333333333,False
2021,ADHD,substantive_core_overall,1407,941,10033,5234,5237,1387,0.5219774743346955,0.9857853589196873,False
2021,Autism,clinical_only,1413,924,11172,5893,5896,1403,0.5277479412817758,0.9929228591648974,False
2021,Autism,lived_only,994,709,8064,4026,4026,990,0.4992559523809524,0.9959758551307847,False
2021,Autism,mixed,551,407,4421,2250,2252,546,0.5093870165121014,0.9909255898366606,False
2021,Autism,substantive_core_overall,2958,1831,23657,12169,12174,2939,0.5146045567908019,0.993576741041244,False
2021,frustration,unframed_baseline,7962,7108,65925,30182,30187,7943,0.4578991277967387,0.9976136649083145,False
2021,loneliness,unframed_baseline,3852,3024,31279,15088,15092,3843,0.482496243486045,0.9976635514018691,False
2021,sadness,unframed_baseline,4219,3607,33305,15541,15543,4210,0.466686683681129,0.9978667930789287,False
2022,ADHD,clinical_only,930,634,6550,3579,3580,916,0.5465648854961832,0.9849462365591398,False
2022,ADHD,lived_only,356,254,2728,1283,1283,351,0.4703079178885631,0.9859550561797753,False
2022,ADHD,mixed,193,152,1525,747,747,192,0.4898360655737705,0.9948186528497409,False
2022,ADHD,substantive_core_overall,1479,941,10803,5609,5610,1459,0.5193001943904471,0.9864773495605138,False
2022,Autism,clinical_only,1175,772,9174,4881,4882,1173,0.5321560933071724,0.9982978723404256,False
2022,Autism,lived_only,911,643,7267,3521,3521,903,0.48451905875877255,0.991218441273326,False
2022,Autism,mixed,421,318,3415,1771,1771,421,0.5185944363103954,1.0,False
2022,Autism,substantive_core_overall,2507,1557,19856,10173,10174,2497,0.512389202256245,0.9960111687275628,False
2022,frustration,unframed_baseline,6963,6275,57949,26743,26746,6954,0.4615437712471311,0.998707453683757,False
2022,loneliness,unframed_baseline,2955,2372,23846,11779,11781,2952,0.49404512287176044,0.9989847715736041,False
2022,sadness,unframed_baseline,3768,3229,30245,14155,14155,3762,0.4680112415275252,0.9984076433121019,False
2023,ADHD,clinical_only,750,477,5142,2717,2718,722,0.5285880980163361,0.9626666666666667,False
2023,ADHD,lived_only,299,216,2310,1090,1090,298,0.47186147186147187,0.9966555183946488,False
2023,ADHD,mixed,159,122,1226,609,609,156,0.4967373572593801,0.9811320754716981,False
