lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_warriner_mean,valence_warriner_sd,valence_scaled_mean,valence_scaled_sd,arousal_warriner_mean_for_reuse,arousal_scaled_mean_for_reuse,dominance_warriner_mean_for_reuse,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_warriner_bootstrap_mean,valence_warriner_ci_low,valence_warriner_ci_high,valence_scaled_bootstrap_mean,valence_scaled_ci_low,valence_scaled_ci_high
2026,ADHD,clinical_only,target,ADHD,5.224680851063829,1.3978001839299203,0.5280851063829787,0.17472502299124004,4.130533687943262,0.3913167109929078,5.342693262411348,940,398,168,271,170,1174,940,940,267,0.8006814310051107,0.985239852398524,False,500,doc_id,5.226075185463243,5.098077117581169,5.341729974052451,0.5282593981829053,0.5122596396976461,0.5427162467565564
2014,ADHD,lived_only,target,ADHD,5.522681419457736,1.3614530356369876,0.5653351774322168,0.17018162945462345,4.1601096491228065,0.39501370614035086,5.403116028708134,836,425,243,310,243,1041,836,836,307,0.803073967339097,0.9903225806451613,False,500,doc_id,5.523027560928952,5.415683307859294,5.629213433196112,0.565378445116119,0.5519604134824118,0.578651679149514
2015,ADHD,lived_only,target,ADHD,5.609613920609027,1.3658260392022503,0.5762017400761283,0.1707282549002813,4.207672648178358,0.4009590810222947,5.481595976073953,613,315,163,216,169,755,613,614,210,0.8132450331125828,0.9722222222222222,False,500,doc_id,5.606194506718061,5.462350617800074,5.737757483712881,0.5757743133397576,0.5577938272250094,0.5922196854641101
2016,ADHD,lived_only,target,ADHD,5.532180633147113,1.3646260602769982,0.5665225791433892,0.17057825753462477,4.170104283054004,0.39626303538175045,5.486446927374302,895,409,244,309,245,1109,895,895,302,0.8070333633904418,0.9773462783171522,False,500,doc_id,5.529364640073127,5.4314118332306744,5.624055598199219,0.566170580009141,0.5539264791538343,0.5780069497749024
2017,ADHD,lived_only,target,ADHD,5.612786606129398,1.407383683539829,0.5765983257661749,0.17592296044247863,4.204273552780931,0.40053419409761637,5.472398789254635,881,419,236,303,241,1073,881,882,296,0.8219944082013048,0.976897689768977,False,500,doc_id,5.608615628869137,5.505304300097804,5.716731109484192,0.5760769536086421,0.5631630375122254,0.589591388685524
2018,ADHD,lived_only,target,ADHD,5.569921976592979,1.4412884312290513,0.5712402470741222,0.1801610539036314,4.23747507585609,0.4046843844820113,5.5019722583441695,769,386,211,269,216,984,769,769,262,0.7815040650406504,0.9739776951672863,False,500,doc_id,5.571836606029239,5.44873322373481,5.695252492314625,0.5714795757536549,0.5560916529668513,0.5869065615393281
2019,ADHD,lived_only,target,ADHD,5.576217948717948,1.397064707546801,0.5720272435897436,0.17463308844335013,4.252736378205128,0.406592047275641,5.4807151442307696,832,376,220,299,223,1027,832,833,294,0.8111002921129503,0.9832775919732442,False,500,doc_id,5.580098935233939,5.456148557359349,5.685640099206464,0.5725123669042423,0.5570185696699185,0.585705012400808
2020,ADHD,lived_only,target,ADHD,5.567299887260428,1.402133126435411,0.5709124859075536,0.1752666408044264,4.246972942502818,0.4058716178128523,5.463314543404735,887,413,234,312,240,1087,887,887,300,0.8160073597056118,0.9615384615384616,False,500,doc_id,5.567054408739801,5.457874674479166,5.676947004055941,0.5708818010924752,0.5572343343098958,0.5846183755069926
2021,ADHD,lived_only,target,ADHD,5.5014935587761675,1.425305083967956,0.5626866948470209,0.1781631354959945,4.1718961352657,0.39648701690821253,5.43133655394525,828,382,231,299,232,1044,828,828,293,0.7931034482758621,0.979933110367893,False,500,doc_id,5.504401200669789,5.389984482994515,5.6101507520878755,0.5630501500837236,0.5487480603743143,0.5762688440109843
2022,ADHD,lived_only,target,ADHD,5.61577457795432,1.4054524477896342,0.57697182224429,0.17568155597370427,4.195609069844423,0.3994511337305528,5.5190135716650115,1007,454,246,356,254,1277,1007,1007,342,0.7885669537979639,0.9606741573033708,False,500,doc_id,5.613127364017106,5.5013149939271315,5.717125076430631,0.5766409205021384,0.5626643742408914,0.589640634553829
2023,ADHD,lived_only,target,ADHD,5.644803227075955,1.3656122926792034,0.5806004033844944,0.17070153658490042,4.162581660763479,0.39532270759543486,5.5229279811098,847,404,210,299,216,1083,847,847,291,0.7820867959372114,0.9732441471571907,False,500,doc_id,5.644019762289008,5.525135085850948,5.767398238826497,0.580502470286126,0.5656418857313685,0.5959247798533122
2024,ADHD,lived_only,target,ADHD,5.599086908690869,1.388301034981526,0.5748858635863586,0.17353762937269074,4.213283828382838,0.4016604785478548,5.46034103410341,909,429,223,313,227,1179,909,909,307,0.7709923664122137,0.9808306709265175,False,500,doc_id,5.599956855357444,5.485943653627658,5.715237550125683,0.5749946069196804,0.5607429567034572,0.5894046937657104
2025,ADHD,lived_only,target,ADHD,5.624009077155825,1.3605293510501697,0.5780011346444781,0.1700661688812712,4.166069087241553,0.3957586359051941,5.483401412002017,661,326,140,216,148,863,661,661,203,0.7659327925840093,0.9398148148148148,False,500,doc_id,5.625709085990456,5.504806200630125,5.739244474164029,0.578213635748807,0.5631007750787657,0.5924055592705036
2026,ADHD,lived_only,target,ADHD,5.328328912466843,1.4046285858631464,0.5410411140583554,0.1755785732328933,4.107519893899204,0.38843998673740054,5.300291777188329,377,207,76,109,76,465,377,377,109,0.810752688172043,1.0,False,500,doc_id,5.330748294542244,5.1890657500549695,5.473537748024295,0.5413435368177805,0.5236332187568712,0.5591922185030369
2014,ADHD,mixed,target,ADHD,5.456295585412668,1.362676735523934,0.5570369481765834,0.17033459194049175,4.258746001279591,0.4073432501599488,5.49534229046705,521,296,148,183,152,666,521,521,176,0.7822822822822822,0.9617486338797814,False,500,doc_id,5.454097861875604,5.320959851707978,5.57759252259647,0.5567622327344505,0.5401199814634973,0.5721990653245588
2015,ADHD,mixed,target,ADHD,5.310354017501989,1.4217637362960585,0.5387942521877487,0.1777204670370073,4.216607000795545,0.4020758750994431,5.311507557677008,419,240,106,128,109,494,419,421,125,0.8522267206477733,0.9765625,False,500,doc_id,5.314901536472786,5.175076314425215,5.445961412198912,0.5393626920590983,0.5218845393031519,0.5557451765248641
