analysis_unit,frame_stratum,term_role,target_group,index_name,value_column,n_years,year_center,linear_intercept,warriner_scaled_linear_slope_per_year,linear_slope_se,warriner_scaled_linear_p_value,linear_r_squared,warriner_scaled_linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,warriner_scaled_autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared,nrc_linear_slope_per_year,nrc_linear_p_value,nrc_linear_adj_r_squared,nrc_autocorrelation_flag,slope_direction_agrees
ADHD,clinical_only,target,ADHD,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5418643247821346,-0.0006056173191780739,0.00028783570965102903,0.05918500779800576,0.286963332038387,0.22214181676914935,-0.5356895855235444,1.9366095465685798,-0.05869503287183329,False,,,0.4273681715647486,0.20522635479559925,0.0004271431083429,0.6311734153351155,-0.0672531627043482,True,False
ADHD,lived_only,target,ADHD,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5823906705279078,-0.0008099900957132795,0.0007214594198932144,0.28546787671547863,0.10280829675310366,0.021245414639749494,-0.3206373290075645,1.5951101336258027,-0.20969246393482266,False,,,0.16843661153926148,0.147191196899512,0.0003417783142377,0.71217102282469,-0.0768746626527656,False,False
ADHD,mixed,target,ADHD,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5660489619470502,0.0009182808847663069,0.0007271925928944125,0.23278223428346786,0.12660992769446333,0.0472108302121419,0.3558228880980865,2.145077741168975,-0.2315774106535991,False,,,0.15355672498853734,0.10634589477639544,0.0024705145194529,0.064205837513626,0.2121282338082319,False,True
ADHD,substantive_core_overall,target,ADHD,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5531918311910957,-0.00011197997637274045,0.00031355428055201084,0.7277507673199095,0.011461884012339607,-0.07840521744108409,-0.10706018873669576,1.5765279518864004,0.14896599186935908,False,,,-0.15365963935480464,-0.07525442191372056,0.0012159076448006,0.0986426204410403,0.1581716535984166,False,False
Autism,clinical_only,target,Autism,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5603251214280299,0.0005124901568467637,0.0003738899775768246,0.19778904018246196,0.14588397683271004,0.06823706563568355,0.3819476100628375,1.1222945398565378,0.3372522158001852,True,0.0011854826826718913,0.033140544478852944,0.6259896881736227,0.5577526225379391,0.0011544143287314,0.2280669881029719,0.049841625627483,True,True
Autism,lived_only,target,Autism,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.6077190267007464,-0.0007894226267288392,0.0005891742123161795,0.20730641465445995,0.14030784632251803,0.062154014170019756,-0.3745768897336295,2.3751125186731343,-0.23115394039787257,False,,,0.06164073132291337,-0.0005132828471063888,-0.0019024020810783,0.1471938221682653,0.1065903085334819,False,True
Autism,mixed,target,Autism,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5974385087956244,0.00011292818119302756,0.0003001814046345366,0.7139232634059057,0.012702593696578224,-0.07705171596736915,0.11270578377607127,2.4297426694202655,-0.36296105308148585,False,,,-0.12889748084288888,-0.05184576487551973,0.00097599159103,0.1442701749448994,0.1091931057515164,False,True
Autism,substantive_core_overall,target,Autism,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5816706230621073,0.0002782453084777707,0.00013836920740987723,0.06949431030433738,0.2687959393388303,0.20232284291508762,0.5184553397727028,3.280670712834193,-0.7010764285299697,True,0.0002864221757292787,0.0016879571335315642,0.12381079753983393,-0.07851204537525369,0.0005705106172731,0.1103933024656324,0.1437611963007292,False,True
frustration,unframed_baseline,baseline,baseline,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.55586372727188,0.000989454581268273,0.0003423716033764275,0.014705794922326779,0.4315865571990598,0.37991260785351977,0.6569524771237722,0.37649180576652497,0.7625771898467493,True,0.0032357028589691055,0.0011682005303358595,0.9340957726369212,0.5541831647834015,0.0022871710893447,0.0144411396496568,0.3817904287819975,True,True
loneliness,unframed_baseline,baseline,baseline,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5430418733502603,0.0015597835752919347,0.000343674728118141,0.000845880673752113,0.6518811093285766,0.6202339374493562,0.8073915464807497,1.4108903463255202,0.0965125816447789,False,,,0.8156515038933068,0.19541756644395059,0.0024530774916871,0.0127905999342633,0.3942187220529543,True,True
sadness,unframed_baseline,baseline,baseline,warriner_valence_scaled_0_1,valence_scaled_mean,13,2020.0,0.5450897512997601,-0.0012342307766925263,0.0002080569772908306,9.842420477581148e-05,0.7618569361462618,0.740207566705013,-0.8728441648692286,2.000118617887398,-0.07056490079468142,False,,,0.7474250618212429,0.007217495116229933,-0.0016037652851731,0.0095704994149974,0.4230637210577873,False,True
