analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,rank,word,occurrences_in_high_distance_contexts,high_distance_contexts_with_word,high_distance_documents_with_word,high_distance_contexts_used,context_share,mean_context_avg_distance
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,4,use,5,4,4,20,0.2,0.3693318784322407
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,5,learning,7,3,3,20,0.15,0.36469182082479606
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,6,child,6,3,3,20,0.15,0.3508820023509472
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,7,need,5,3,3,20,0.15,0.3456389720628005
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,8,medical,4,3,3,20,0.15,0.33960212847773574
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,9,depression,3,3,3,20,0.15,0.37732822298484786
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,10,neurodevelopmental,3,3,3,20,0.15,0.3418330102526701
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,1,disorder,16,13,13,20,0.65,0.31264754917798765
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,2,thing,4,3,3,20,0.15,0.3723595535024047
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,3,child,3,3,3,20,0.15,0.3325126779075758
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,4,parent,3,2,2,20,0.1,0.338345760250587
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,5,school,3,2,2,20,0.1,0.306283708242783
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,6,adult,2,2,2,20,0.1,0.288022808247477
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,7,check,2,2,2,20,0.1,0.4054975399817043
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,8,diagnose,2,2,2,20,0.1,0.3240642054958606
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,9,diagnosis,2,2,2,20,0.1,0.2987180536970758
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,10,different,2,2,2,20,0.1,0.34175971876836064
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,1,disorder,19,12,12,20,0.6,0.3322474175701157
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,2,autism,5,5,5,20,0.25,0.3502691585258219
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,3,student,5,3,3,20,0.15,0.351958397418643
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,4,diagnose,3,3,3,20,0.15,0.3828980541285211
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,5,people,3,3,3,20,0.15,0.3311210557081219
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,6,spectrum,3,3,3,20,0.15,0.36209821727436625
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,7,behavior,2,2,2,20,0.1,0.36445164115902146
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,8,child,2,2,2,20,0.1,0.33243248247117274
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,9,decide,2,2,2,20,0.1,0.3443756845785
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,10,delivery,2,2,2,20,0.1,0.3443756845785
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,1,disorder,18,12,11,20,0.6,0.3230750482389504
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,2,autism,4,4,4,20,0.2,0.301267609332247
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,3,dyslexia,4,4,3,20,0.2,0.3225212085606058
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,4,spectrum,4,4,3,20,0.2,0.3406997386302749
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,5,autistic,3,3,2,20,0.15,0.3536385802995146
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,6,condition,3,3,2,20,0.15,0.36914730142313806
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,7,diagnose,3,3,3,20,0.15,0.4052884986250292
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,8,neurodivergent,3,3,2,20,0.15,0.36914730142313806
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,9,population,3,3,2,20,0.15,0.33744755585275227
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,10,disabilities,5,2,2,20,0.1,0.2896757213183371
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,1,lead,5,4,4,20,0.2,0.5399904749470797
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,2,need,3,3,3,20,0.15,0.5606778347509529
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,3,time,3,3,3,20,0.15,0.5618761310660236
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,4,society,4,2,2,20,0.1,0.5133169730781012
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,5,channel,3,2,1,20,0.1,0.523427710544922
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,6,feel,2,2,2,20,0.1,0.5731139732354966
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,7,fund,2,2,2,20,0.1,0.5146145864542533
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,8,media,2,2,1,20,0.1,0.5203432627997406
