analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_valence_mean
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,5,treatment,unigram,treatment,False,False,153,127,0.326,49.878,0.0028451314813758483,0.008727397182134505,17531,3213,0.08001742151997414
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,1,disorder,unigram,disorder,False,False,314,272,-0.675,-211.95000000000002,-0.013584796820920396,0.020125624919882068,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,2,depression,unigram,depression,False,False,198,188,-0.938,-185.724,-0.01190385847968209,0.012690680681963851,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,3,autism,unigram,autism,False,True,344,316,-0.53,-182.32000000000002,-0.01168568132290732,0.022048455326240227,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,4,anxiety,unigram,anxiety,False,False,179,168,-0.708,-126.732,-0.008122804768619409,0.01147288809127035,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,5,diagnose,unigram,diagnose,False,False,249,222,-0.4555,-113.4195,-0.007269548775797974,0.01595949237277272,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,positive,1,child,unigram,child,False,False,615,519,0.7689999999999999,472.93499999999995,0.030312459941033196,0.039418023330342264,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,positive,2,adult,unigram,adult,False,False,200,151,0.63,126.0,0.008075887706704268,0.012818869375721062,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,positive,3,add,unigram,add,True,False,415,361,0.29000000000000004,120.35000000000001,0.007713754646840149,0.026599153954621202,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,positive,4,include,unigram,include,False,False,188,183,0.45933333333333337,86.35466666666667,0.005534845959919669,0.012049737213177798,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,positive,5,treatment,unigram,treatment,False,False,195,168,0.326,63.57,0.0040744776310729395,0.012498397641328035,15602,3073,0.044698359184719906
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,negative,1,disorder,unigram,disorder,False,False,337,294,-0.675,-227.47500000000002,-0.016512412891986065,0.024462833914053426,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,negative,2,depression,unigram,depression,False,False,221,209,-0.9380000000000001,-207.298,-0.015047764227642276,0.01604239256678281,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,negative,3,autism,unigram,autism,False,True,379,340,-0.53,-200.87,-0.0145811556329849,0.027511614401858304,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,negative,4,anxiety,unigram,anxiety,False,False,227,222,-0.708,-160.71599999999998,-0.011666376306620208,0.016477932636469222,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,negative,5,diagnose,unigram,diagnose,False,False,173,151,-0.4555,-78.8015,-0.005720201800232289,0.01255807200929152,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,positive,1,child,unigram,child,False,False,440,383,0.7689999999999999,338.35999999999996,0.02456155632984901,0.03193960511033682,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,positive,2,add,unigram,add,True,False,373,289,0.29000000000000004,108.17000000000002,0.00785206155632985,0.027076074332171893,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,positive,3,include,unigram,include,False,False,168,163,0.45933333333333337,77.168,0.005601626016260163,0.012195121951219513,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,positive,4,adult,unigram,adult,False,False,120,93,0.63,75.6,0.00548780487804878,0.008710801393728223,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,positive,5,treat,unigram,treat,False,False,171,159,0.341,58.31100000000001,0.004232796167247387,0.012412891986062718,13776,2742,0.016173426006581493
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,negative,1,depression,unigram,depression,False,False,194,179,-0.938,-181.97199999999998,-0.01623735165521549,0.01731060944052824,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,negative,2,autism,unigram,autism,False,True,334,281,-0.53,-177.02,-0.01579548496475417,0.02980280182029089,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,negative,3,disorder,unigram,disorder,False,False,230,208,-0.675,-155.25,-0.01385294904970108,0.020522887481038636,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,negative,4,anxiety,unigram,anxiety,False,False,208,193,-0.708,-147.26399999999998,-0.013140358704381188,0.018559828678504506,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,negative,5,diagnose,unigram,diagnose,False,False,125,118,-0.4555,-56.9375,-0.005080530025876684,0.01115374319621665,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,positive,1,child,unigram,child,False,False,315,263,0.7689999999999999,242.23499999999996,0.021614615865084317,0.028107432854465958,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,positive,2,adult,unigram,adult,False,False,102,82,0.63,64.26,0.005733916302311056,0.009101454448112787,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,positive,3,include,unigram,include,False,False,129,127,0.45933333333333337,59.254000000000005,0.005287231194788971,0.011510662978495583,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,positive,4,add,unigram,add,True,False,184,159,0.29000000000000004,53.36000000000001,0.004761309895600964,0.01641830998483091,11207,2089,0.04730600071383957
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,positive,5,treatment,unigram,treatment,False,False,140,114,0.326,45.64,0.004072454715802623,0.012492192379762648,11207,2089,0.04730600071383957
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,negative,1,autism,unigram,autism,False,True,86,82,-0.53,-45.580000000000005,-0.013473248595920782,0.025421223765888266,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,negative,2,diagnose,unigram,diagnose,False,False,57,55,-0.4555,-25.9635,-0.007674697014484186,0.016848950635530595,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,negative,3,dyslexia,unigram,dyslexia,False,False,32,31,-0.667,-21.344,-0.006309193023943246,0.009459060005911913,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,negative,4,depression,unigram,depression,False,False,22,19,-0.938,-20.636,-0.006099911321312444,0.00650310375406444,3383,890,0.12911171543994482
