analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_valence_mean
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,1,disorder,unigram,disorder,False,False,1756,1352,-0.6750000000000002,-1185.3000000000002,-0.046702127659574474,0.06918833727344366,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,2,disability,unigram,disability,False,False,218,205,-0.854,-186.172,-0.00733538219070134,0.008589440504334122,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,3,adhd,unigram,adhd,False,True,296,260,-0.48400000000000004,-143.264,-0.005644759653270292,0.011662726556343577,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,4,disease,unigram,disease,False,False,147,138,-0.8360000000000001,-122.89200000000001,-0.004842080378250592,0.005791962174940898,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,negative,5,spectrum,unigram,spectrum,True,False,268,227,-0.376,-100.768,-0.003970370370370371,0.010559495665878644,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,1,child,unigram,child,False,False,1050,828,0.7689999999999999,807.4499999999999,0.0318144208037825,0.041371158392434985,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,2,developmental,unigram,developmental,False,False,219,202,0.704,154.176,0.006074704491725768,0.008628841607565012,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,3,include,unigram,include,False,False,270,256,0.45933333333333337,124.02000000000001,0.004886524822695036,0.010638297872340425,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,4,family,unigram,family,False,False,77,72,0.8845000000000002,68.10650000000001,0.0026834712371946417,0.003033884948778566,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,5,study,unigram,study,False,False,143,126,0.47333333333333333,67.68666666666667,0.002666929340688206,0.005634357762017337,25380,4319,0.06161447990543735
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,1,disorder,unigram,disorder,False,False,1316,987,-0.675,-888.3000000000001,-0.04969788519637463,0.07362649658722166,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,2,adhd,unigram,adhd,False,True,316,265,-0.484,-152.944,-0.008556786393644399,0.017679310730670247,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,3,disability,unigram,disability,False,False,158,146,-0.8539999999999999,-134.932,-0.0075490656819961945,0.008839655365335123,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,4,diagnose,unigram,diagnose,False,False,155,139,-0.4555,-70.6025,-0.0039500111894371715,0.00867181380776547,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,5,schizophrenia,unigram,schizophrenia,False,False,81,71,-0.8159999999999998,-66.09599999999999,-0.0036978851963746216,0.004531722054380665,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,1,child,unigram,child,False,False,752,605,0.7689999999999999,578.2879999999999,0.0323535862146134,0.04207228376412667,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,2,developmental,unigram,developmental,False,False,186,178,0.704,130.944,0.007325948304800268,0.010406176569318564,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,3,include,unigram,include,False,False,179,167,0.45933333333333337,82.22066666666667,0.004600014919249562,0.010014546268322704,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,4,individual,unigram,individual,False,False,237,197,0.254,60.198,0.0033679086941926823,0.013259483048002686,17874,2913,0.08627502983849912
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,5,intellectual,unigram,intellectual,False,False,73,68,0.812,59.276,0.0033163253888329417,0.004084144567528253,17874,2913,0.08627502983849912
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,1,disorder,unigram,disorder,False,False,278,245,-0.675,-187.65,-0.011188957128376364,0.0165762327827798,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,2,disability,unigram,disability,False,False,156,147,-0.854,-133.224,-0.007943712360622503,0.009301770914077873,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,3,diagnose,unigram,diagnose,False,False,163,157,-0.45549999999999996,-74.2465,-0.004427076501103094,0.009719158070478802,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,4,spectrum,unigram,spectrum,True,False,178,166,-0.376,-66.928,-0.003990698229085922,0.010613559119909367,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,5,year old,mwe,year | old,False,False,181,164,-0.3,-54.3,-0.0032377317989386437,0.01079243932979548,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,1,child,unigram,child,False,False,765,648,0.7689999999999999,588.285,0.03507751475761731,0.045614453520958796,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,2,son,unigram,son,False,False,262,244,0.584,153.00799999999998,0.009123367718084788,0.01562220499672053,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,3,family,unigram,family,False,False,136,129,0.8845000000000001,120.292,0.007172619402540099,0.008109236181503787,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,4,parent,unigram,parent,False,False,139,129,0.624,86.736,0.005171784628227297,0.0082881163913899,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,5,kid,unigram,kid,False,False,148,137,0.47933333333333344,70.94133333333335,0.00423000019875579,0.008824757021048239,16771,3531,0.23053742173990818
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,1,disorder,unigram,disorder,False,False,253,229,-0.675,-170.775,-0.011327606792252587,0.016781639692226055,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,2,disability,unigram,disability,False,False,149,144,-0.854,-127.246,-0.00844030246749801,0.009883258158662775,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,3,diagnose,unigram,diagnose,False,False,166,161,-0.4555,-75.613,-0.005015455027858848,0.011010878217033697,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,4,adhd,unigram,adhd,False,True,119,113,-0.484,-57.596,-0.003820376757760679,0.007893340408596445,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,5,spectrum,unigram,spectrum,True,False,105,98,-0.37599999999999995,-39.48,-0.002618731759087291,0.006964712125232157,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,1,child,unigram,child,False,False,631,523,0.7689999999999999,485.2389999999999,0.03218618997081454,0.04185460334306182,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,2,son,unigram,son,False,False,216,201,0.584,126.14399999999999,0.008367206155478906,0.01432740780047758,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,3,family,unigram,family,False,False,103,95,0.8845000000000001,91.10350000000001,0.006042949058105599,0.006832050941894402,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,4,people,unigram,people,False,False,418,344,0.19800000000000004,82.76400000000001,0.0054897850888829935,0.027726187317590873,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,5,kid,unigram,kid,False,False,130,116,0.4793333333333334,62.31333333333334,0.004133280268859999,0.008622976916954099,15076,3177,0.23112776377465288
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,1,dangerous,unigram,dangerous,False,False,170,170,-0.96,-163.2,-0.014837712519319937,0.015455950540958269,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,2,disorder,unigram,disorder,False,False,166,145,-0.675,-112.05000000000001,-0.010187289753613967,0.015092281116465133,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,3,adhd,unigram,adhd,False,True,203,173,-0.484,-98.252,-0.008932812073824892,0.01845622329302664,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,4,obsession,unigram,obsession,False,False,171,171,-0.542,-92.682,-0.008426402400218202,0.015546867897081552,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,5,disability,unigram,disability,False,False,78,76,-0.854,-66.612,-0.006056186926084189,0.007091553777616147,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,1,child,unigram,child,False,False,341,289,0.7689999999999999,262.229,0.023841167378852623,0.03100281843803982,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,2,family,unigram,family,False,False,97,90,0.8845000000000001,85.79650000000001,0.0078003909446313306,0.008818983543958542,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,3,son,unigram,son,False,False,137,126,0.584,80.008,0.007274115828711701,0.0124556777888899,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,4,people,unigram,people,False,False,303,244,0.198,59.994,0.005454495863260297,0.02754795890535503,10999,2280,0.2015840470345789
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,5,support,unigram,support,False,False,112,92,0.532,59.584,0.00541721974724975,0.010182743885807801,10999,2280,0.2015840470345789
