analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,arousal_mean_for_cell
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,5,hyperactivity,unigram,True,False,47,45,1.0,47.0,0.00265356820234869,0.00265356820234869,17712,3215,0.019362843458295698
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,1,treatment,unigram,False,False,197,169,-0.228,-44.916000000000004,-0.0028768334080573883,0.012617690386216615,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,2,add,unigram,True,False,423,366,-0.105,-44.415,-0.0028447447639787355,0.027092807275987958,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,3,patient,unigram,False,False,71,65,-0.614,-43.594,-0.0027921603791712037,0.0045474924742202015,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,4,common,unigram,False,False,47,47,-0.746,-35.062,-0.002245692691987446,0.003010311919554218,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,5,include,unigram,False,False,188,183,-0.18066666666666667,-33.965333333333334,-0.002175452080531181,0.012041247678216871,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,1,disorder,unigram,False,False,314,272,0.53,166.42000000000002,0.01065906616281304,0.020111445590213283,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,2,anxiety,unigram,False,False,179,168,0.73,130.67,0.008369307628258502,0.011464804970217127,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,3,hyperactivity,unigram,True,False,85,81,1.0,85.0,0.005444181131108692,0.005444181131108692,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,4,drug,unigram,False,False,113,102,0.5419999999999999,61.245999999999995,0.003922756677128034,0.007237558444885672,15613,3073,0.02894162877089605
